'an'fa'zhi'zhi'er'zeng'ju 按法治之而增剧
'jia'cong'jiu'jing 加葱九茎
'jia'da'huang'ru'bo'qi'zi'da'wu'liu'mei 加大黄如博棋子大五六枚
'jia'fu'ling'bai'zhu'ge'san'liang 加茯苓白术各三两
'jia'fu'ling'bai'zhu'tang'zhu'zhi 加茯苓白术汤主之
'jia'fu'ling'er'liang 加茯苓二两
'jia'fu'ling'si'liang 加茯苓四两
'jia'fu'ling'wu'fen 加茯苓五分
'jia'fu'zi'tang'zhu'zhi 加附子汤主之
'jia'fu'zi'yi'mei 加附子一枚
'jia'gan'jiang 加干姜
'jia'gan'jiang'er'liang 加干姜二两
'jia'gua'lou'shi'yi'mei 加栝蒌实一枚
'jia'gui'san'liang 加桂三两
'jia'gui'zhi'wu'fen 加桂枝五分
'jia'hou'pu'er'liang 加厚朴二两
'jia'hou'pu'xing'zi'jia 加厚朴杏子佳
'jia'jian'fa 加减法
'jia'jie'geng'yi'liang 加桔梗一两
'jia'ling'bing'ren'yun 假令病人云
'jia'ling'chi'mai'ruo 假令尺脉弱
'jia'ling'chi'zhong'chi'zhe 假令尺中迟者
'jia'ling'chun'yin'jie 假令纯阴结
'jia'ling'cun'kou'mai'wei 假令寸口脉微
'jia'ling'de'chun'xian'mai'zhe 假令得纯弦脉者
'jia'ling'han'chu'yi 假令汗出已
'jia'ling'jiu'you'fu'qi 假令旧有伏气
'jia'ling'ke'zhe 假令咳者
'jia'ling'mai'chi 假令脉迟
'jia'ling'mai'lai'wei'qu'da 假令脉来微去大
'jia'ling'ren'bing 假令人病
'jia'ling'shou'zu'wen'zhe 假令手足温者
'jia'ling'wang'han'ruo'tu 假令亡汗若吐
'jia'ling'xia'li 假令下利
'jia'ling'ye'ban'de'bing 假令夜半得病
'jia'ling'yi'xia 假令已下
'jia'mang'xiao'liu'liang 加芒硝六两
'jia'mu'li'si'liang 加牡蛎四两
'jia'ren'shen 加人参
'jia'ren'shen'er'liang 加人参二两
'jia'ren'shen'san'liang 加人参三两
'jia'ren'shen'yi'liang 加人参一两
'jia'ru'ban'xia'ban'sheng 加入半夏半升
'jia'ru'gan'cao'er'liang 加入甘草二两
'jia'ru'zhu'dan'zhi'ban'he 加入猪胆汁半合
'jia'shao'yao'er'liang 加芍药二两
'jia'shao'yao'san'liang 加芍药三两
'jia'shao'zhen 加烧针
'jia'sheng'jiang 加生姜
'jia'sheng'jiang'er'liang 加生姜二两
'jia'sheng'jiang'san'liang 加生姜三两
'jia'sheng'jiang'wu'liang 加生姜五两
'jia'shu 加术
'jia'wen'zhen 加温针
'jia'wen'zhen'ze'nv 加温针则衄
'jia'wu'wei'ban'sheng 加五味半升
'jia'wu'wei'zi'ban'sheng 加五味子半升
'jia'wu'wei'zi'gan'jiang'ge'wu'fen 加五味子干姜各五分
'jian'bu'zu'yan 减不足言
'jian'er'sheng 减二升
'jian'fu 煎服
'jian'han 渐寒
'jian'jia 渐加
'jian'jian'xiao 渐渐小
'jian'jue'fu'li 见厥复利
'jian'liu'sheng 减六升
'jian'nei'ji'huang'zhe 睑内际黄者
'jian'qi'fei 煎七沸
'jian'shao'hui 剪烧灰
'jian'you'zao'shi 坚有燥屎
'jian'ze'wei'han 减则为寒
'jian'zhi 减之
'jiao'gu'shang'jin 焦骨伤筋
'jiao'ling'xiang'de 搅令相得
'jiao'luan'ji 脚挛急
'jiao'qu'zi 绞去滓
'jiao'yi'yi'sheng 胶饴一升
'jiao'zhi'wu'ling'jiao'zhe 搅之勿令焦着
'jie'ban'ri'xu 解半日许
'jie'biao'gui'zhi'tang 解表桂枝汤
'jie'cheng'bing'qi'ye 皆成病气也
'jie'dang'an'dou'li'zhan'zhi 皆当按斗历占之
'jie'geng'san'fen 桔梗三分
'jie'geng'tang'fang 桔梗汤方
'jie'geng'yi'liang 桔梗一两
'jie'hou 解后
'jie'ji'er'fa'han 解肌而发汗
'jie'ke'wei'dao 皆可为导
'jie'lin'shi'xiao'xi'zhi'fang 皆临时消息制方
'jie'neng'wei'bing 皆能为病
'jie'wei'shi'xing'han'yi'ye 皆为时行寒疫也
'jie'xiong're'shi 结胸热实
'jie'xiong'zhe 结胸者
'jie'xiong'zheng 结胸证
'jie'xiong'zheng'xi'ju 结胸证悉具
'jie'ye 解也
'jie'yi'ye'ban 解以夜半
'jie'you'dong'shi'chu'han'suo'zhi 皆由冬时触寒所致
'jie'yu 皆愈
'jie'yu'xie'xia 结于胁下
'jie'zhi'dang'han'chu 解之当汗出
'jie'zhi'hou 解之后
'jin'fan'bu'e'han 今反不恶寒
'jin'fan'bu'neng'shi 今反不能食
'jin'fan'chen 今反沉
'jin'fan'fu 今反浮
'jin'fan'geng'shi 今反更实
'jin'fan'he'zhe 今反和者
'jin'fan'li'zhe 今反利者
'jin'fan'neng'shi 今反能食
'jin'fan'neng'shi'zhe 今反能食者
'jin'fan'ru'li 紧反入里
'jin'fan'xiao'bian'li 今反小便利
'jin'fu'jiao'kan 今复校勘
'jin'fu'yang'mai'fu'er'se 今趺阳脉浮而涩
'jin'fu'yu'xia'li 今复欲下利
'jin'han'zai'guan'yuan 紧寒在关元
'jin'hang'cheng'mu 金行乘木
'jin'hang'cheng'shui 金行乘水
'jin'he'wei'yi'fang 今合为一方
'jin'lai'ke'mu 金来克木
'jin'leng'zhou'yi'bei 进冷粥一杯
'jin'mai'cong'he'er'lai 紧脉从何而来
'jin'mai'fan'chen'chi 今脉反沉迟
'jin'mai'fan'fu 今脉反浮
'jin'mai'fu 今脉浮
'jin'mai'fu'da 今脉浮大
'jin'nai'bian'yi 今乃变异
'jin'nai'fa'zuo 今乃发作
'jin'qu'ren'an 紧去人安
'jin'qu'zhu'shen 近取诸身
'jin'ri'zai'xing 今日再行
'jin'ru'yao'fa 禁如药法
'jin'se'wei'huang 今色微黄
'jin'sheng'leng'hua'wu'chou'shi'deng 禁生冷滑物臭食等
'jin'shi'ren'shang'han 今世人伤寒
'jin'shi'shang'han 今是伤寒
'jin'sou'cai'zhong'jing'jiu'lun 今搜采仲景旧论
'jin'ti'rou'mu'run 筋惕肉目闰
'jin'tou'han'chu 今头汗出
'jin'tui'di'ang 进退低昂
'jin'wei'han 紧为寒
'jin'wei'jiao'tong 紧为绞痛
'jin'wei'xiao'bian'shu'shao 今为小便数少
'jin'ye'dei'xia 津液得下
'jin'ye'liu'tong 津液流通
'jin'ye'si'she 津液四射
'jin'ye'yue'chu 津液越出
'jin'ye'zi'he 津液自和
'jin'yin'zhi 尽饮之
'jin'yu'huang'qin'tang 今与黄芩汤
'jin'yue'zhi'nei 今月之内
'jin'ze'rong'zhong'han 紧则荣中寒
'jin'ze'wei'han 紧则为寒
'jin'zhe 紧者
'jin'zhe'pi'qi'qiang 紧者脾气强
'jin'zhi'ze'tong'ju 近之则痛剧
'jin'zi'han'chu 今自汗出
'jin'zi'yu 今自愈
'jing'bei'xiang'yin 颈背相引
'jing'bing'ye 痉病也
'jing'bu'he 睛不和
'jing'bu'hui 睛不慧
'jing'jin'gu'ye 经尽故也
'jing'mai'dong'ti'zhe 经脉动惕者
'jing'mi'lu'he 粳米六合
'jing'mi'yi'jin 粳米一斤
'jing'shang'wei'ju'ji 胫尚微拘急
'jing'shi'ye'san'zhong 痉湿暍三种
'jing'shui'shi'duan'zhe 经水适断者
'jing'shui'shi'lai 经水适来
'jing'xiang'qiang 颈项强
'jing'xiang'qiang'er'xuan'zhe 颈项强而眩者
'jing'xiang'qiang'ji 颈项强急
'jiu'an'zhi'qi'bu'tong 久按之气不通
'jiu'biao'gui'zhi'tang 救表桂枝汤
'jiu'bu'liao'le'zhe 久不了了者
'jiu'er'cheng'wei 久而成痿
'jiu'jiu'wei'jia'lai 久久为痂癞
'jiu'jue'yin 灸厥阴
'jiu'li'si'ni'tang 救里四逆汤
'jiu'qi'he'shang'ge'yi'zhuang 灸其核上各一壮
'jiu'ri'shao'yang'bing'shuai 九日少阳病衰
'jiu'shao'yin'qi'zhuang 灸少阴七壮
'jiu'shu'bu'zhi 久数不止
'jiu'xi'hou'pu'ban'jin'zhi'qu'pi 酒洗厚朴半斤炙去皮
'jiu'yue'shi'yue 九月十月
'jiu'yue'shuang'jiang'jie'hou 九月霜降节后
'jiu'ze'fa'ke'tuo 灸则发咳唾
'jiu'ze'zhan'yu 久则谵语
'jiu'zhi'bu'wen 灸之不温
'jiu'zhi'you'hai 灸之有害
'ju'ran'neng'hu'qi'ben 居然能护其本
'ju'ze'ru'jing'xian 剧则如惊痫
'ju'zhe'bi'nv 剧者必衄
'ju'zhe'yan'luan'mu'xuan'zhe'si 剧者言乱目眩者死
'jue'bing'xu'yu 觉病须臾
'jue'bu'hai'zhe 厥不还者
'jue'bu'jian'yang'ye 绝不见阳也
'jue'bu'zhi'zhe 厥不止者
'jue'er'qie'han 厥而且寒
'jue'fan'jiu'ri 厥反九日
'jue'fan'jiu'ri'er'li 厥反九日而利
'jue'fan'san'ri 厥反三日
'jue'jue'dong'yao'zhe 厥厥动摇者
'jue'ni 厥逆
'jue'ni'er'e'han'zhe 厥逆而恶寒者
'jue'ni'wu'mai 厥逆无脉
'jue'ni'yan'zhong'gan 厥逆咽中干
'jue'shao're'duo 厥少热多
'jue'shen'zhe 厥深者
'jue'si'ye 决死也
'jue'wei'zhe 厥微者
'jue'wu'ri 厥五日
'jue'yin'bing 厥阴病
'jue'yin'shou'bing'ye 厥阴受病也
'jue'yin'zhi'wei'bing 厥阴之为病
'jue'yin'zhong'feng 厥阴中风
'jue'ying'xia'zhi 厥应下之
'jue'zhe 厥者
'jue'zhong'bu'guo'wu'ri 厥终不过五日
'jun'zi'gu'mi 君子固密
'kai'qi'wei'wu'zhe 开其未悟者
'ke'ban'ri'zhong'jin'san'fu 可半日中尽三服
'ke'bu'jie 渴不解
'ke'bu'shen'ming'zhi 可不审明之
'ke'ci 可刺
'ke'ci'wu'shi'jiu'xue 可刺五十九穴
'ke'er'bu'ou 渴而不呕
'ke'er'fa'han 咳而发汗
'ke'er'ou'ke 咳而呕渴
'ke'er'wei'chuan 咳而微喘
'ke'er'xia'li'zhan'yu'zhe 咳而下利谵语者
'ke'er'xiao'bian'li 咳而小便利
'ke'fa'han 可发汗
'ke'geng'fa'han 可更发汗
'ke'gong'li'ye 可攻里也
'ke'han'er'yi 可汗而已
'ke'jiu'zhi 可救之
'ke'jiu'zhi 可灸之
'ke'qi'dong'ge 客气动膈
'ke'qi'nei'ru 客气内入
'ke'qi'shang'ni 客气上逆
'ke're'ying'shi'ba 客热应时罢
'ke're'zai'pi'fu 客热在皮肤
'ke'xia'er'yi 可下而已
'ke'xia'zhi 可下之
'ke'yang'qu'you'qi 客阳去有期
'ke'yi'xia'zhi 可以下之
'ke'yin'shui'jiang'zhe 渴引水浆者
'ke'yu'da'cheng'qi'tang 可与大承气汤
'ke'yu'de'shui'er'bu'neng'yin 渴欲得水而不能饮
'ke'yu'de'shui'zhe 渴欲得水者
'ke'yu'gan'cao'tang 可与甘草汤
'ke'yu'gui'zhi'tang 可与桂枝汤
'ke'yu'ma'huang'xing'ren'gan'cao'shi'gao'tang'zhu'zhi 可与麻黄杏仁甘草石膏汤主之
'ke'yu'ma'huang'xing'zi'gan'cao'shi'gao'tang 可与麻黄杏子甘草石膏汤
'ke'yu'tiao'wei'cheng'qi'tang 可与调胃承气汤
'ke'yu'xiao'chai'hu'tang 可与小柴胡汤
'ke'yu'xiao'cheng'qi'tang 可与小承气汤
'ke'yu'yin'shui 渴欲饮水
'ke'yu'yin'shui'zhe 渴欲饮水者
'ke'ze'tu'xian 咳则吐涎
'ke'zhe 咳者
'ke'zhe 渴者
'ke'zhe'ze'ju 咳者则剧
'ke'zhi 可治
'ke'zhi'she'gan 渴止舌干
'kong'bao're'lai'chu'er'fu'qu'ye 恐暴热来出而复去也
'kong'bu'wei'da'chai'hu'tang'ye 恐不为大柴胡汤也
'kong'wei'chu'zhong 恐为除中
'kong'yi'sheng'duo'zhe 恐一升多者
'kong'you'zao'shi 恐有燥屎
'kong'zhu'qu'si'sheng 空煮取四升
'kou'bu'neng'shi 口不能食
'kou'bu'ren'er'mian'gou 口不仁而面垢
'kou'bu'yu'shi 口不欲食
'kou'fu'ju 口父咀
'kou'gan'bi'zao 口干鼻燥
'kou'gan'she'zao'zhe 口干舌燥者
'kou'gan'yan'lan 口干咽烂
'kou'gan'zao'zhe 口干燥者
'kou'ji'bu'neng'yan 口急不能言
'kou'kai 口开
'kou'ku'yan'gan 口苦咽干
'kou'ku'yan'gan'mu'xuan'ye 口苦咽干目眩也
'kou'lan'shi'duan'ye 口烂食断也
'kou'nan'yan 口难言
'kou'sui'yu'yan 口虽欲言
'kou'wei'yin 芤为阴
'kou'zao 口燥
'kou'zao'ke 口燥渴
'kou'zao'yan'gan'zhe 口燥咽干者
'kou'ze'wei'xu 芤则为虚
'kou'zhe'rong'qi'shang 芤者荣气伤
'kou'zhong'bo'bo'qi'chu 口中勃勃气出
'kou'zhong'he 口中和
'kou'zhong'qi'chu 口中气出
'ku'jiu'tang'fang 苦酒汤方
'ku'jiu'tang'zhu'zhi 苦酒汤主之
'ku'ping 苦平
'ku'wen 苦温
'kuang'gui'zhi'xia'yan 况桂枝下咽
'kun'nai'gao'yi 困乃告医
'lai'chi'qu'ji 来迟去疾
'lai'ji'qu'chi 来疾去迟
'lao'fu'zhe 劳复者
'lei'lei'ran 累累然
'lei'ren'fu'ban'qian 羸人服半钱
'lei'zhe'jian'zhi 羸者减之
'leng'bi'xiang'bo 冷必相搏
'leng'ze'ying 冷则硬
'li'bu'xiu 利不休
'li'bu'zhi 利不止
'li'guo'bu'zhi 利过不止
'li'han'wai're 里寒外热
'li'li'er'zhen'han 栗栗而振寒
'li'qi'bu'shou 里气不守
'li'qi'wei'ji 里气微急
'li'shi'hu'fu 里实护腹
'li'sui'bu'zhi 利遂不止
'li'sui'bu'zhi'zhe'si 利遂不止者死
'li'tong'ye 里痛也
'li'wei'yu'zhi 利未欲止
'li'xia'bu'zhi 利下不止
'li'xia'de'hong'da'mai 立夏得洪大脉
'li'xiao'bian'yi 利小便已
'li'xu'ye 里虚也
'li'yi'shen 利益甚
'li'you're'ye 里有热也
'li'ze'zhi 利则止
'li'zhi 利止
'li'zhi'mai'bu'chu'zhe 利止脉不出者
'li'zhi'ze'yu 利之则愈
'li'zhi'zhe'yu 利止者愈
'li'zhong'jiao 理中焦
'li'zhong'wan 理中丸
'li'zhong'wan'fang 理中丸方
'li'zhong'wan'zhu'zhi 理中丸主之
'li'zhong'zhe 理中者
'lian'chi'fang'ye 连翅房也
'lian'mi'wei'wan 炼蜜为丸
'lian'yao'er'liang 连轺二两
'lian'zai'qi'bang 连在脐傍
'liang'er'wu'suo'wen 两耳无所闻
'liang'jiao'dang'shen 两脚当伸
'liang'jing'ju'ji'er'zhan'yu 两胫拘急而谵语
'liang'xie'ju'ji 两胁拘急
'liang'yang'xiang'xun'zhuo 两阳相熏灼
'liang'zu'dang're 两足当热
'liao'du'fu'cang 料度府藏
'lin'bing'zhi'gong 临病之工
'lin'jia'bu'ke'fa'han 淋家不可发汗
'ling'bian'shu'nan 令便数难
'ling'bing'zhe'jing 令病者静
'ling'de'fen'ming 令得分明
'ling'fei 令沸
'ling'han'da'chu 令汗大出
'ling'jin'han'chu 令尽汗出
'ling'san'fei 令三沸
'ling'san'fu'jin 令三服尽
'ling'shen'bu'ren 令身不仁
'ling'tou'rui 令头锐
'ling'wei'qi'he'ze'yu 令胃气和则愈
'ling'xiao'an 令小安
'ling'yang'qi'wei 令阳气微
'ling'yin'qi'ruo 令阴气弱
'liu'qi'ri 六七日
'liu'qi'ri'bu'da'bian 六七日不大便
'liu'qi'ri'bu'jie'er'fan 六七日不解而烦
'liu'qi'ri'dang'han'chu'er'jie 六七日当汗出而解
'liu'qi'ri'hou 六七日后
'liu'ri 六日
'liu'ri'si 六日死
'liu'zai'he'jing 留在何经
'long'gu'er'liang 龙骨二两
'long'gu'si'liang 龙骨四两
'long'gu'yi'liang'ban 龙骨一两半
'lou'ke'zhou'xuan 漏刻周旋
'lu'qi'zheng'hou'zhen'mai'sheng'se 录其证候诊脉声色
'luo'yu'ai 络于嗌
'luo'yu'fei 络于肺
'ma'huang'er'liang'ban'qu'jie 麻黄二两半去节
'ma'huang'er'liang'qu'jie 麻黄二两去节
'ma'huang'fu'zi'gan'cao'tang 麻黄附子甘草汤
'ma'huang'fu'zi'gan'cao'tang'fang 麻黄附子甘草汤方
'ma'huang'fu'zi'xi'xin'tang'fang 麻黄附子细辛汤方
'ma'huang'fu'zi'xi'xin'tang'zhu'zhi 麻黄附子细辛汤主之
'ma'huang'lian'yao'chi'xiao'dou'tang'fang 麻黄连轺赤小豆汤方
'ma'huang'lian'yao'chi'xiao'dou'tang'zhu'zhi 麻黄连轺赤小豆汤主之
'ma'huang'liu'liang'qu'jie 麻黄六两去节
'ma'huang'san'liang'qu'jie 麻黄三两去节
'ma'huang'sheng'ma'tang'fang 麻黄升麻汤方
'ma'huang'sheng'ma'tang'zhu'zhi 麻黄升麻汤主之
'ma'huang'shi'ba'zhu'qu'jie 麻黄十八铢去节
'ma'huang'shi'liu'zhu'qu'jie 麻黄十六铢去节
'ma'huang'si'liang'qu'jie 麻黄四两去节
'ma'huang'tang 麻黄汤
'ma'huang'tang'fang 麻黄汤方
'ma'huang'tang'zhu'zhi 麻黄汤主之
'ma'huang'xing'ren'gan'cao'shi'gao'tang'fang 麻黄杏仁甘草石膏汤方
'ma'ren'wan'zhu'zhi 麻人丸主之
'ma'zi'ren'ban'sheng 麻子仁半升
'ma'zi'ren'er'sheng 麻子仁二升
'ma'zi'ren'wan'fang 麻子仁丸方
'mai'an'zhi'lai'huan 脉按之来缓
'mai'bao'chu'zhe'si 脉暴出者死
'mai'bao'wei 脉暴微
'mai'bi'jue 脉必厥
'mai'bing'ren'bu'bing 脉病人不病
'mai'bu'chu'zhe 脉不出者
'mai'bu'hai'zhe'si 脉不还者死
'mai'bu'zhi 脉不至
'mai'bu'zhi'zhe 脉不至者
'mai'chen 脉沉
'mai'chen'chi'zhe 脉沉迟者
'mai'chen'er'chi 脉沉而迟
'mai'chen'er'chuan'man 脉沉而喘满
'mai'chen'er'jin 脉沉而紧
'mai'chen'er'xi'zhe 脉沉而细者
'mai'chen'hua'zhe 脉沉滑者
'mai'chen'jin 脉沉紧
'mai'chen'jin'zhe 脉沉紧者
'mai'chen'se'ruo'xian'wei 脉沉涩弱弦微
'mai'chen'shi'zhe 脉沉实者
'mai'chen'wei 脉沉微
'mai'chen'xi'zhe 脉沉细者
'mai'chen'xian'zhe 脉沉弦者
'mai'chen'zhe 脉沉者
'mai'chi'er'hua'zhe 脉迟而滑者
'mai'chi'fu'ruo 脉迟浮弱
'mai'chi'gu'ye 脉迟故也
'mai'chi'shang'wei'ke'gong 脉迟尚未可攻
'mai'chi'wei'han 脉迟为寒
'mai'chu'lai'da 脉初来大
'mai'cu'xiong'man'zhe 脉促胸满者
'mai'cu'zhe 脉促者
'mai'da'er'fu'shu 脉大而浮数
'mai'da'er'jin'zhe 脉大而紧者
'mai'da'zhe 脉大者
'mai'dan'fu 脉但浮
'mai'dan'fu'zhe 脉但浮者
'mai'dang'chen'er'xi 脉当沉而细
'mai'dang'fu'da 脉当浮大
'mai'dang'ru'ruo 脉当濡弱
'mai'dang'wei'jue 脉当微厥
'mai'dao'nai'xing 脉道乃行
'mai'de'tai'yang 脉得太阳
'mai'dong'shu 脉动数
'mai'fan'chen 脉反沉
'mai'fan'dan'fu 脉反但浮
'mai'fan'hua 脉反滑
'mai'fan'shi'zhe'si 脉反实者死
'mai'fan'wei'se'zhe 脉反微涩者
'mai'fu 脉浮
'mai'fu'bi'zhong'zao'zhe 脉浮鼻中燥者
'mai'fu'da 脉浮大
'mai'fu'da'jian'xiao 脉浮大减小
'mai'fu'dang'yi'han'jie 脉浮当以汗解
'mai'fu'er'chi 脉浮而迟
'mai'fu'er'da 脉浮而大
'mai'fu'er'dong'shu 脉浮而动数
'mai'fu'er'hong 脉浮而洪
'mai'fu'er'hua 脉浮而滑
'mai'fu'er'jie'zhe 脉浮而解者
'mai'fu'er'jin 脉浮而紧
'mai'fu'er'jin'zhe 脉浮而紧者
'mai'fu'er'kou 脉浮而芤
'mai'fu'er'shu 脉浮而数
'mai'fu'er'shu'zhe 脉浮而数者
'mai'fu'fa're 脉浮发热
'mai'fu'hua'zhe 脉浮滑者
'mai'fu'jin 脉浮紧
'mai'fu'jin'zhe 脉浮紧者
'mai'fu're'shen 脉浮热甚
'mai'fu'ruo'zhe 脉浮弱者
'mai'fu'shu 脉浮数
'mai'fu'shu'er'wei 脉浮数而微
'mai'fu'shu'zhe 脉浮数者
'mai'fu'xi'er'shi'wo'zhe 脉浮细而嗜卧者
'mai'fu'xu'er'se'zhe 脉浮虚而涩者
'mai'fu'xu'zhe 脉浮虚者
'mai'fu'zhe 脉浮者
'mai'fu'zhe'bu'yu 脉浮者不愈
'mai'hong'da'zhe 脉洪大者
'mai'hua 脉滑
'mai'hua'er'ji'zhe 脉滑而疾者
'mai'hua'er'shu'zhe 脉滑而数者
'mai'huan'zhe 脉缓者
'mai'ji'jin 脉急紧
'mai'jin 脉紧
'mai'jin'fan'qu'zhe 脉紧反去者
'mai'jin'ze'yu 脉紧则愈
'mai'jin'zhe 脉紧者
'mai'lai'dong'er'zhong'zhi 脉来动而中止
'mai'lai'huan 脉来缓
'mai'lai'shu 脉来数
'mai'lai'tou'xiao'ben'da'zhe 脉来头小本大者
'mai'liu'sun 脉六损
'mai'men'dong'ban'sheng'qu'xin 麦门冬半升去心
'mai'men'dong'yi'sheng'qu'xin 麦门冬一升去心
'mai'mian'mian 脉绵绵
'mai'nai'shu'ye 脉乃数也
'mai'pie'pie 脉瞥瞥
'mai'ping 脉平
'mai'ru'er'jin 脉濡而紧
'mai'ru'er'ruo 脉濡而弱
'mai'ruo 脉弱
'mai'ruo'jing'zhe'wei'bu'chuan 脉若静者为不传
'mai'ruo'zhe 脉弱者
'mai'shen'wei 脉甚微
'mai'sheng'shen'han 脉盛身寒
'mai'shi'zhe'xia'zhi 脉实者下之
'mai'shu 脉数
'mai'shu'bu'jie 脉数不解
'mai'shu'er'jie'zhe 脉数而解者
'mai'shu'er'ke'zhe 脉数而渴者
'mai'shu'ji'zhe 脉数急者
'mai'shu'shi 脉数实
'mai'shu'zhe 脉数者
'mai'shuang'xian'er'chi'zhe 脉双弦而迟者
'mai'sui'chen'jin 脉虽沉紧
'mai'tiao'he'zhe 脉调和者
'mai'wei 脉微
'mai'wei'er'chen 脉微而沉
'mai'wei'er'e'han'zhe 脉微而恶寒者
'mai'wei'er'jie'zhe 脉微而解者
'mai'wei'er'jue 脉微而厥
'mai'wei'er'ruo 脉微而弱
'mai'wei'fu 脉微浮
'mai'wei'huan'zhe 脉微缓者
'mai'wei'ruo'shu'zhe 脉微弱数者
'mai'wei'ruo'zhe 脉微弱者
'mai'wei'se 脉微涩
'mai'wei'xi 脉微细
'mai'wei'xi'chen 脉微细沉
'mai'wei'yu'jue 脉微欲绝
'mai'wei'yu'jue'zhe 脉微欲绝者
'mai'wu'sun 脉五损
'mai'xi'chen'shu 脉细沉数
'mai'xi'shu'zhe 脉细数者
'mai'xi'yu'jue'zhe 脉细欲绝者
'mai'xi'zhe 脉细者
'mai'xian 脉弦
'mai'xian'chi'zhe 脉弦迟者
'mai'xian'er'da 脉弦而大
'mai'xian'fu'da'er'duan'qi 脉弦浮大而短气
'mai'xian'xi 脉弦细
'mai'xian'zhe 脉弦者
'mai'xian'zhe'sheng 脉弦者生
'mai'xing'ru'xun'si 脉形如循丝
'mai'xu 脉虚
'mai'xu'fu'zhe 脉续浮者
'mai'xu'shen're 脉虚身热
'mai'yang'wei'er'han'chu'shao'zhe 脉阳微而汗出少者
'mai'yang'wei'yin'fu'zhe 脉阳微阴浮者
'mai'yin'qian'hou'du'shu'ru'fa 脉因前后度数如法
'mai'yin'yang'ju'fu 脉阴阳俱浮
'mai'yin'yang'ju'jin 脉阴阳俱紧
'mai'yin'yang'ju'jin'zhe 脉阴阳俱紧者
'mai'yin'yang'ju'sheng 脉阴阳俱盛
'mai'yin'yang'ju'ting 脉阴阳俱停
'mai'yin'yang'ju'xu 脉阴阳俱虚
'mai'ying'ying 脉萦萦
'mai'you'can'zei 脉有残贼
'mai'you'san'bu 脉有三部
'mai'you'san'shu'liu'shu'zhong'zhe 脉有三菽六菽重者
'mai'you'xian'jin'fu'hua'chen'se 脉有弦紧浮滑沉涩
'mai'you'xiang'cheng'you'zong'you'heng'you'ni'you'shun 脉有相乘有纵有横有逆有顺
'mai'you'yang'jie'yin'jie'zhe 脉有阳结阴结者
'mai'you'yin'yang'zhe 脉有阴阳者
'mai'you'zai'guai 脉有灾怪
'mai'zai'ju'tou'zhe 脉再举头者
'mai'zha'jie 脉乍结
'mai'zha'jin'zhe 脉乍紧者
'mai'zhe 脉者
'mai'zhi 脉之
'mai'zhi'bian'zheng 脉之变证
'mai'zhi'ru'zhuan'suo'zhe 脉至如转索者
'mai'zhi'tou'ye 脉之头也
'mai'zhi'zha'shu'zha'shu'zhe 脉至乍疏乍数者
'mai'zi'he'zhe'bu'si 脉自和者不死
'mang'xiao'ban'jin 芒硝半斤
'mang'xiao'ban'sheng 芒硝半升
'mang'xiao'er'liang 芒硝二两
'mang'xiao'san'he 芒硝三合
'mang'xiao'yi'sheng 芒硝一升
'mao'fa'chang 毛发长
'mao'jia'han'chu'zi'yu 冒家汗出自愈
'mei'ku 昧苦
'meng'chong'er'shi'wu'ge 虻虫二十五个
'meng'chong'san'shi'ge'ao 虻虫三十个熬
'meng'ran'bu'zhi'bing'yuan 懵然不知病源
'mi'geng'yi'fan 弥更益烦
'mi'he'wan 蜜和丸
'mi'jian'dao'er'tong'zhi 蜜煎导而通之
'mi'jian'dao'fang 蜜煎导方
'mi'qi'he'yi'wei 蜜七合一味
'mi'zhou'zi'yang 糜粥自养
'mian'guo 绵裹
'mian'he'chi'se 面合赤色
'mian'mu'ji'shen'huang 面目及身黄
'mian're'chi'er'zhan'ti'zhe 面热赤而战惕者
'mian'se'chi'zhe 面色赤者
'mian'se'fan'you're'se'zhe 面色反有热色者
'mian'se'huang 面色黄
'mian'se'qing 面色青
'mian'se'qing'huang 面色青黄
'ming'bei 名卑
'ming'cang'jie 名藏结
'ming'chen 名沉
'ming'chi 名迟
'ming'cu 名促
'ming'dai'yin'ye 名代阴也
'ming'dong 名动
'ming'dong'wen 名冬温
'ming'dong'ye 名动也
'ming'feng'wen 名风温
'ming'gang 名纲
'ming'gang'jing 名刚痉
'ming'gao 名高
'ming'guan'ge 名关格
'ming'heng 名横
'ming'hua 名滑
'ming'huan 名缓
'ming'huan'ye 名缓也
'ming'hun'ye 名浑也
'ming'huo'luan 名霍乱
'ming'huo'ni'ye 名火逆也
'ming'jiang'nan'quan 命将难全
'ming'jie 名结
'ming'jie'xiong'ye 名结胸也
'ming'jie'ye 名洁也
'ming'jie'yin'ye 名结阴也
'ming'jing 名痉
'ming'jue'yin 名厥阴
'ming'liu'sun 名六损
'ming'nei'shi'wai'xu'ye 名内实外虚也
'ming'nei'xu 名内虚
'ming'nei'xu'wai'shi'ye 名内虚外实也
'ming'ni 名逆
'ming'qiang'ye 名强也
'ming'ri'bian'jie'yi 明日便解矣
'ming'ri'bu'da'bian 明日不大便
'ming'ri'geng'fu 明日更服
'ming'ri'ri'zhong'yu 明日日中愈
'ming'ri'ri'zhong'yu'zhe 明日日中愈者
'ming'ri'shi'dao 明日师到
'ming'rou'jing 名柔痉
'ming'shang'han 名伤寒
'ming'shao'yin 名少阴
'ming'shui'ni 名水逆
'ming'shun'ye 名顺也
'ming'si'sun 名四损
'ming'sun 名损
