'a'da'ri'ge 阿达日格
'zhu'jia'gou 朱家沟
'zhu'jia'wan 褚家湾
'zhu'jia'yao 朱家窑
'zhu'jiang'kong 注浆孔
'zhu'li'zhi'ban'yuan 助理值班员
'zhu'po 朱坡
'zhu'ri'he 朱日和
'zhu'ri'he'mu'chang 珠日河牧场
'zhu'san'jia 朱三家
'zhu'shi'zhai 朱石寨
'zhu'si'hua 珠斯花
'zhu'ti'xin'hao 主体信号
'zhu'tiao 助调
'zhu'wang 诸往
'zhu'wo 珠窝
'zhu'yang'xi 朱杨溪
'zhu'you'zhen'mu 注油枕木
'zhu'yu'xiang 朱圉乡
'zhu'yuan'ba 竹园坝
'zhuan'che'pan 转车盘
'zhuan'guan'kou 转关口
'zhuan'huan'ping 转换屏
'zhuan'ye'jian'li 专业监理
'zhuan'zhan 转站
'zhuan'zhe'jiao 转辙角
'zhuan'zhe'qi'gen 转辙器根
'zhuang'ji 桩基
'zhuang'tai'xiu 状态修
'zhuang'wei'pian'cha 桩位偏差
'zhui'po 锥坡
'zhui'po'tian'zhu 锥坡填筑
'zhun'sha'ri'wu'su 准沙日乌苏
'zhuo'zhu'wei'ming 卓著威名
'zhuo'zi'shan 卓资山
'zi'bei'lie'che 自备列车
'zi'bo'zhan 淄博站
'zi'dong'bi'se'fa 自动闭塞法
'zi'dong'diao'che 自动调车
'zi'dong'li'ju'jian'ding 自动力矩检定
'zi'gong'nan 自贡南
'zi'gou 紫沟
'zi'jian'ti'xi 自检体系
'zi'jiang 紫酱
'zi'ting 自停
'zi'you'nei'jie 自由内接
'zi'zhai 紫寨
'zi'zhi'cong'ying 资质聪颖
'zong'duan'mian'gao'cheng 纵断面高程
'zong'feng'gang 总风缸
'zong'gai'suan'hui'zong 总概算汇总
'zong'he'gai'suan 综合概算
'zong'he'kao'shi 综合考试
'zong'he'wei'xiu 综合维修
'zong'he'yang'lu'ji'xie 综合养路机械
'zong'jian'ban 总监办
'zong'jian'dai'biao'chu 总监代表处
'zong'jian'li'gong'cheng'shi 总监理工程师
'zong'liang'qiao 纵梁桥
'zong'xi 棕溪
'zong'xiang'biao'xian 纵向标线
'zong'xiang'gui'zhen 纵向轨枕
'zong'xiang'jian'ju 纵向间距
'zou'ma'ling 走马岭
'zu'gong 阻工
'zu'he'zhe'cha 组合辙叉
'zu'shang'zhi'rou 俎上之肉
'zun'yi'bei 遵义北
'zun'yi'nan 遵义南
'zuo'gang 左港
'zuo'kai'dao'cha 左开道岔
'zuo'ye'biao'zhi 作业标志
'zuo'ye'duan 作业段
