'an'jian'bu'men 安监部门
'zhi'ding'shi'gu'deng'ji'hua'fen 制定事故等级划分
'zhi'ding'ying'ji'yu'an 制定应急预案
'zhi'fa'zheng'jian 执法证件
'zhi'jie'fu'ze'de'zhu'guan'ren'yuan'he'qi'ta'zhi'jie'ze'ren'ren'yuan'yi'fa'gei'yu'xing'zheng'chu'fen 直接负责的主管人员和其他直接责任人员依法给予行政处分
'zhi'jie'jing'ji'sun'shi 直接经济损失
'zhi'jie'li'hai'guan'xi 直接利害关系
'zhi'jie'wei'ji'ren'shen'an'quan 直接危及人身安全
'zhi'jie'zu'zhi 直接组织
'zhi'shi 致使
'zhi'shi'he'guan'li'neng'li 知识和管理能力
'zhi'shi'he'zhuan'chang 知识和专长
'zhi'shi'sheng'chan'jing'ying'dan'wei'bu'ju'bei'an'quan'sheng'chan'tiao'jian'de 致使生产经营单位不具备安全生产条件的
'zhi'shi'shi'gu'diao'cha'gong'zuo'you'zhong'da'shu'lou'de 致使事故调查工作有重大疏漏的
'zhi'shi'ta'ren'zuo'wei'zheng 指使他人作伪证
'zhi'xing'jian'du'jian'cha'ren'wu'shi 执行监督检查任务时
'zhi'xing'wan'bi 执行完毕
'zhi'xing'you'guan'an'quan'sheng'chan'de'fa'lv'fa'gui 执行有关安全生产的法律法规
'zhi'ye'wei'hai 职业危害
'zhi'ye'zhun'ze 执业准则
'zhi'ye'zi'ge 执业资格
'zhong'da'sheng'chan'an'quan'shi'gu'bao'gao 重大生产安全事故报告
'zhong'da'shi'gu 重大事故
'zhong'da'shi'gu'jiao'da'shi'gu'yi'ban'shi'gu 重大事故较大事故一般事故
'zhong'da'shi'gu'jiao'da'shi'gu'yi'ban'shi'gu'fu'ze'shi'gu'diao'cha'de'ren'min'zheng'fu 重大事故较大事故一般事故负责事故调查的人民政府
'zhong'da'shi'gu'yin'huan'pai'chu'hou 重大事故隐患排除后
'zhong'da'shi'gu'yin'huan'pai'chu'hou'jing'shen'cha'tong'yi'fang'ke'hui'fu'sheng'chan'jing'ying'he'shi'yong 重大事故隐患排除后经审查同意方可恢复生产经营和使用
'zhong'da'shi'gu'yin'huan'pai'chu'qian'huo'zhe'pai'chu'guo'cheng'zhong 重大事故隐患排除前或者排除过程中
'zhong'da'shi'gu'yin'huan'pai'chu'qian'huo'zhe'pai'chu'guo'cheng'zhong'wu'fa'bao'zheng'an'quan'de 重大事故隐患排除前或者排除过程中无法保证安全的
'zhong'da'wei'xian'yuan 重大危险源
'zhong'hua'ren'min'gong'he'guo 中华人民共和国
'zhong'hua'ren'min'gong'he'guo'an'quan'sheng'chan'fa 中华人民共和国安全生产法
'zhong'hua'ren'min'gong'he'guo'guo'wu'yuan 中华人民共和国国务院
'zhong'hua'ren'min'gong'he'guo'guo'wu'yuan'si'jiu'san'hao'ling 中华人民共和国国务院四九三号令
'zhong'hua'ren'min'gong'he'guo'ling'yu'nei 中华人民共和国领域内
'zhong'jie'ji'gou 中介机构
'zhong'yu'zhi'shou 忠于职守
'zhong'yu'zhi'shou'jian'chi'yuan'ze'bing'gong'zhi'fa 忠于职守坚持原则秉公执法
'zhu'ce 注册
'zhu'chi'shi'gu'diao'cha'zu'gong'zuo 主持事故调查组工作
'zhu'guan'bu'men 主管部门
'zhu'ji'shang'bao 逐级上报
'zhu'ji'shang'bao'shi'gu'qing'kuang 逐级上报事故情况
'zhu'ti'gong'cheng 主体工程
'zhu'yao'fu'ze'ren 主要负责人
'zhuan'ye'ji'shu'zi'ge 专业技术资格
'zhuan'ye'zi'zhi'ji'gou 专业资质机构
'zhuan'yi 转移
'zhuan'yi'yin'ni 转移隐匿
'zhuan'yi'yin'ni'zi'jin'cai'chan'huo'zhe'xiao'hui'you'guan'zheng'ju'zi'liao'de 转移隐匿资金财产或者销毁有关证据资料的
'zhuan'zhi'an'quan'sheng'chan'guan'li'ren'yuan 专职安全生产管理人员
'zhui'bu'gui'an 追捕归案
'zhui'jiu'fa'lv'ze'ren 追究法律责任
'zhui'jiu'sheng'chan'an'quan'shi'gu'ze'ren'ren'yuan 追究生产安全事故责任人员
'zhui'jiu'xing'shi'ze'ren 追究刑事责任
'zhun'que 准确
'zi'fa'sheng'zhi'ri'qi'qi'ri'nei 自发生之日起七日内
'zi'jin 资金
'zi'jin'cai'chan 资金财产
'zi'jin'tou'ru 资金投入
'zi'jin'tou'ru'bu'zu 资金投入不足
'zi'shi'gu'fa'sheng'zhi'ri'qi'san'shi'ri'nei 自事故发生之日起三十日内
'zi'xing'fa'zhi'xing'wan'bi 自刑罚执行完毕
'zi'xing'fa'zhi'xing'wan'bi'huo'zhe'shou'chu'fen'zhi'ri'qi 自刑罚执行完毕或者受处分之日起
'zi'zhi'tiao'jian 资质条件
'zong'jie'shi'gu'jiao'xun 总结事故教训
'zong'li'wen'jia'bao 总理温家宝
'zong'ze 总则
'zu'ai 阻碍
'zu'ai'gan'she'shi'gu'diao'cha'gong'zuo'de 阻碍干涉事故调查工作的
'zu'e'pei'chang 足额赔偿
'zu'lin'he'tong 租赁合同
'zu'lin'he'tong'zhong'yue'ding 租赁合同中约定
'zu'zhi'cong'ye'ren'yuan'che'li'wei'xian'chang'suo 组织从业人员撤离危险场所
'zu'zhi'qiang'jiu 组织抢救
'zu'zhi'shi'gu'jiu'yuan 组织事故救援
'zu'zhi'shi'gu'qiang'jiu 组织事故抢救
'zu'zhi'you'guan'bu'men 组织有关部门
'zu'zhi'you'guan'bu'men'an'zhao'zhi'ze'fen'gong 组织有关部门按照职责分工
'zu'zhi'zhi'ding 组织制定
'zu'zhi'zhuan'jia 组织专家
'zui'chang'bu'chao'guo'liu'shi'ri 最长不超过六十日
'zun'shou'ji'lv 遵守纪律
'zun'shou'shi'gu'diao'cha'zu'de'ji'lv 遵守事故调查组的纪律
'zun'xun 遵循
'zun'zhong'ke'xue 尊重科学
'zuo'chu 做出
'zuo'chu'biao'zhi 做出标志
'zuo'chu'pi'fu 做出批复
'zuo'chu'shu'mian'ji'lu 作出书面记录
'zuo'chu'shu'mian'ji'lu 做出书面记录
'zuo'chu'xing'zheng'chu'fa'jue'ding 作出行政处罚决定
'zuo'wei'zheng 作伪证
'zuo'ye'chang'suo 作业场所
'zuo'ye'guo'cheng'zhong 作业过程中
