'a'na'zha'wang 阿那吒王
'zai'fu'da'xing 宰辅大姓
'zai'huo'zhai'zhong'zhe 在火宅中者
'zai'liu'dao'zhong 在六道中
'zai'qi'qi'ri'nei 在七七日内
'zai'sheng'bu'xiu'shan'yin 在生不修善因
'zai'sheng'wei'ceng'you'shao'shan'gen 在生未曾有少善根
'zai'sheng'xi'he'hang'ye 在生习何行业
'zai'wo'ben'yuan 在我本愿
'zai'xian'dao'zhong 在险道中
'zai'yan'fu'ti 在阎浮提
'zai'yi'mian'li 在一面立
'zai'yi'ren'tian'zhu'zhong'sheng'deng 再以人天诸众生等
'zai'yu'e'qu 在于恶趣
'zan'sheng'gong'jing 暂生恭敬
'zan'tan'di'zang'pu'sa 赞叹地藏菩萨
'zan'tan'di'zang'pu'sa'yun 赞叹地藏菩萨云
'zan'tan'gong'jing 赞叹恭敬
'zan'tan'ru'zhe 赞叹汝者
'zan'tan'shi'jia'mou'ni'fo 赞叹释迦牟尼佛
'zan'tan'zhan'li 赞叹瞻礼
'zan'tan'zhan'li'di'zang'pu'sa'xing'xiang 赞叹瞻礼地藏菩萨形像
'zan'tan'zhe 赞叹者
'zan'ting'shi'yan 暂听是言
'zan'wu'xiu'xi 暂无休息
'zao'cheng'fo'dao 早成佛道
'zao'ling'jie'tuo 早令解脱
'zao'ye'cha'bie 造业差别
'zao'yu'du'song'ci'bu'si'yi'jing'dian 早与读诵此不思议经典
'zao'zhong'shan'yin 造众善因
'zeng'cai'zhuang'fan 缯彩幢幡
'zeng'wo'li'gu 增我力故
'zeng'yi'she'zhai 增益舍宅
'zeng'zhang'ben'li 增长本力
'zhan'li'di'zang'pu'sa 瞻礼地藏菩萨
'zhan'li'gong'de 瞻礼功德
'zhan'li'gong'yang 瞻礼供养
'zhan'li'huo'fu 瞻礼获福
'zhan'li'zan'tan 瞻礼赞叹
'zhan'li'zun'rong 瞻礼尊容
'zhan'lian'ru'lai 瞻恋如来
'zhan'shi'ding'li'wu'liang'pu'sa'mo'he'sa 瞻视顶礼无量菩萨摩诃萨
'zhan'yang'ru'lai 瞻仰如来
'zhan'zhuan'xiang'ji 辗转相寄
'zhang'shang'ming'zhu 掌上明珠
'zhang'zhe 长者
'zhe'wen'qi'er 辄闻其耳
'zhe'wen'yu'er 辄闻于耳
'zhen'kai'di'yu'zhi'men 振开地狱之门
'zheng'bian'zhi 正遍知
'zheng'nie'pan'le 证涅槃乐
'zheng'qu'shi'dan 争取食啖
'zheng'shi'di'shi 证十地事
'zheng'shi'guo'qu'xian'zai'wei'lai'zhu'fo 正使过去现在未来诸佛
'zheng'wu'ai'zhi 证无碍智
'zhi'a'yi'duo'cheng'fo'yi'lai 至阿逸多成佛以来
'zhi'bai'qian'jie 至百千劫
'zhi'cheng'jiu'fo 智成就佛
'zhi'da'tie'ji 执大铁戟
'zhi'dao'juan'shu 知道眷属
'zhi'hui'yin 智慧音
'zhi'hui'yin'li 智慧音里
'zhi'jie'jie'sun 肢节皆损
'zhi'ku'le'fa 知苦乐法
'zhi'ling'sheng'si 致令生死
'zhi'mi'le'chu'shi'yi'lai'zhong'sheng 至弥勒出世以来众生
'zhi'mu'sheng'jie 知母生界
'zhi'mu'wu'yi 知母无疑
'zhi'mu'zai'shi 知母在世
'zhi'nie'pan'le 至涅槃乐
'zhi'po'luo'men'deng 至婆罗门等
'zhi'qi'jin'zhe 至气尽者
'zhi'qi'ri'yi'lai 至七日以来
'zhi'sheng'fo 智胜佛
'zhi'sheng'si'shi 至生死时
'zhi'shi'guo'bao 知是果报
'zhi'shi'you'yan 知识又言
'zhi'xin'gong'jing 至心恭敬
'zhi'xin'gui'yi 至心归依
'zhi'xin'gui'yi'da'shi'shen 至心归依大士身
'zhi'xin'qin'ken 志心勤恳
'zhi'xin'si'nian'da'shi'ming 至心思念大士名
'zhi'xin'zhan'li 志心瞻礼
'zhi'xin'zhan'li'di'zang'pu'sa'xing'xiang 志心瞻礼地藏菩萨形像
'zhi'xin'zhan'li'di'zang'xiang 至心瞻礼地藏像
'zhi'xin'zheng'zhong 至心郑重
'zhi'xin'zi'du'ci'jing 志心自读此经
'zhi'xing'wu'ding 志性无定
'zhi'ye'dao'ku 知业道苦
'zhi'yu'hao'dao 至于好道
'zhi'yu'meng'zhong'jin'de'an 至于梦中尽得安
'zhi'yu'qian'ri 至于千日
'zhi'yu'wu'wu'jian'zui 至于五无间罪
'zhong'bu'duo'e'dao 终不堕恶道
'zhong'bu'neng'dao 终不能到
'zhong'shao'shan'gen 种少善根
'zhong'shen'wei'hu 终身卫护
'zhong'sheng'xi'du'jin 众生悉度尽
'zhong'suo'qin'jing 众所钦敬
'zhong'ye'suo'gan 众业所感
'zhong'ye'xing'gan 众业行感
'zhong'zhong'zao'e 种种造恶
'zhong'zhong'zhen'bao 种种珍宝
'zhong'zhong'zun 众中尊
'zhong'zui'ren'shen 中罪人身
'zhou'shen 昼神
'zhou'ye'yi'lian 昼夜忆恋
'zhu'cai'gui'wang 主财鬼王
'zhu'chan'gui'wang 主产鬼王
'zhu'chu'gui'wang 主畜鬼王
'zhu'da'gui'wang 诸大鬼王
'zhu'fa'xing'ru'shi 诸法性如是
'zhu'fen'shen'di'zang'pu'sa'mo'he'sa'ding 诸分身地藏菩萨摩诃萨顶
'zhu'fo'hu'lin 诸佛护临
'zhu'gen'bu'ju 诸根不具
'zhu'hao'gui'wang 主耗鬼王
'zhu'heng'xiao'mie 诸横消灭
'zhu'huo'gui'wang 主祸鬼王
'zhu'ji'gui'wang 主疾鬼王
'zhu'jing'er'sheng 逐境而生
'zhu'lei'ren'tian'pin'di'shi'san 嘱累人天品第十三
'zhu'mei'gui'wang 主魅鬼王
'zhu'ming'gui'wang 主命鬼王
'zhu'mo'gui'shen 诸魔鬼神
'zhu'qin'gui'wang 主禽鬼王
'zhu'shen'shao'ji 诸神少及
'zhu'sheng'zan'tan 诸圣赞叹
'zhu'shi'gui'wang 主食鬼王
'zhu'shi'jie'fen'shen'di'zang'pu'sa 诸世界分身地藏菩萨
'zhu'shou'gui'wang 主兽鬼王
'zhu'tian'juan'shu 诸天眷属
'zhu'tian'wei'hu 诸天卫护
'zhu'xian'gui'wang 主险鬼王
'zhu'xian'sheng'xiang'qian 诸贤圣像前
'zhu'xiang'yuan'man 诸相圆满
'zhu'yan'fu'ren'ming 主阎浮人命
'zhu'you'di'yu 诸有地狱
'zhu'yu'xiang'lian 诸狱相连
'zhu'zui'jie'ji 诸罪结集
'zhu'zui'ku'zhong'sheng 诸罪苦众生
'zhu'zui'ren'shen 煮罪人身
'zhuan'da'fa'lun 转大法轮
'zhuan'du'zun'jing 转读尊经
'zhuan'fu'kun'zhong 转复困重
'zhuan'fu'wang'zhai 转复尪瘵
'zhuan'ji'ta'fang 转寄他方
'zhuan'lun'wang'xing'xiang 转轮王形像
'zhuan'zeng'an'le 转增安乐
'zhuan'zeng'shen'zhong 转增深重
'zhuan'zeng'sheng'yin 转增圣因
'zhuan'zeng'tian'fu 转增天福
'zhuang'yuan'fang'she 庄园房舍
'zhuang'yuan'she'zhai 庄园舍宅
'zi'bie'ru'lai 自别汝来
'zi'cheng'zi'nian 自称自念
'zi'de'da'li 自得大利
'zi'fu'jiu'ba 资福救拔
'zi'hao'xiang'guang 紫毫相光
'zi'jian'qi'shen'bian'wo'man'chuang 自见其身遍卧满床
'zi'jin'yi'hou 自今以后
'zi'ling'tu'di 自令土地
'zi'mu'ju'sun 子母俱损
'zi'qing'shi'dan 恣情食啖
'zi'qu'qi'si 自取其死
'zi'ran'bi'jing'chu'li'ku'hai 自然毕竟出离苦海
'zi'ran'wu'ju 自然无惧
'zi'ran'xian'du'ci'hai 自然先渡此海
'zi'ran'yu'wu'shang'dao 自然于无上道
'zi'ru'suo'wen 恣汝所问
'zi'shi'yan'fu'zhong'sheng 自是阎浮众生
'zi'shi'zhong'sheng 自是众生
'zi'shou'e'qu 自受恶趣
'zi'shu'ci'jing 自书此经
'zi'xian'sheng'wen'shen 自现声闻身
'zi'xing'yin'yu 恣行淫欲
'zi'yan'yin'shi'mi'gu 自言因是迷故
'zi'yue'guang'mu 字曰光目
'zi'zai'wei'ceng'you 自在未曾有
'zi'zhu'ye'dao 资助业道
'zong'duo'e'qu'xun'chu'li 纵堕恶趣寻出离
'zong'fa'shan'xin 纵发善心
'zong'ling'jie'tuo 总令解脱
'zong'ran'xiang'feng 纵然相逢
'zong'shou'ren'shen 纵受人身
'zong'yu'ming'shi 纵遇明师
'zu'bai'nan'jing 卒白难竟
'zu'bu'shen'sui 足步深邃
'zu'nan'de'chu 卒难得出
'zui'bao'ming'hao'ru'shi 罪报名号如是
'zui'bu'si'yi 最不思议
'zui'hang'ye'gan 罪行业感
'zui'ku'zhi'shi 罪苦之事
'zui'qi'cha'bang 罪器叉棒
'zun'zhe'ci'min 尊者慈愍
'zuo'ci'pu'sa 作此菩萨
'zuo'da'gui'wang 作大鬼王
'zuo'da'zheng'ming'gong'de'zhu 作大证明功德主
'zuo'di'zang'xing'xiang 作地藏形像
'zuo'he'hang'ye 作何行业
'zuo'he'xing'yuan 作何行愿
'zuo'li'er'tui 作礼而退
'zuo'li'zhe 作礼者
'zuo'qi'kan'shi 作其龛室
'zuo'ru'shi'gong'yang 作如是供养
'zuo'yi'heng'he 作一恒河
'zuo'you'fu'shi 左右扶侍
'zuo'zhu'ji'yue 作诸伎乐
