'a'gui'yang'xue'jiao'nang 阿归养血胶囊
'fu'fang'luo'han'guo'zhi'ke'pian 复方罗汉果止咳片
'fu'fang'luo'tuo'peng'zi'ruan'gao 复方骆驼蓬子软膏
'fu'fang'ma'huang'pen'bi'san 复方麻黄喷鼻散
'fu'fang'ma'qi'tong'jiao'nang 复方马其通胶囊
'fu'fang'ma'yi'huo'luo'jiao'nang 复方蚂蚁活络胶囊
'fu'fang'ma'yi'jiao'nang 复方蚂蚁胶囊
'fu'fang'ma'yi'yang'gan'jiao'nang 复方蚂蚁养肝胶囊
'fu'fang'ma'ying'dan'pian 复方马缨丹片
'fu'fang'man'shan'bai'ke'li 复方满山白颗粒
'fu'fang'man'shan'bai'tang'jiang 复方满山白糖浆
'fu'fang'man'shan'hong'jiao'nang 复方满山红胶囊
'fu'fang'man'shan'hong'tang'jiang 复方满山红糖浆
'fu'fang'man'tuo'luo'yao'shui 复方曼陀罗药水
'fu'fang'mei'li'cao'pian 复方梅笠草片
'fu'fang'mu'fu'rong'tu'bi'gao 复方木芙蓉涂鼻膏
'fu'fang'mu'ji'he'ji 复方木鸡合剂
'fu'fang'mu'ji'ke'li 复方木鸡颗粒
'fu'fang'mu'ma'huang'jiao'nang 复方木麻黄胶囊
'fu'fang'mu'ma'huang'pian 复方木麻黄片
'fu'fang'mu'ni'zi'qi'ke'li 复方木尼孜其颗粒
'fu'fang'nan'ban'lan'gen'jiao'nang 复方南板蓝根胶囊
'fu'fang'nan'ban'lan'gen'ke'li 复方南板蓝根颗粒
'fu'fang'nan'ban'lan'gen'pian 复方南板蓝根片
'fu'fang'nan'gua'yang'yin'san 复方南瓜养阴散
'fu'fang'nan'wu'jia'kou'fu'ye 复方南五加口服液
'fu'fang'nan'xing'zhi'tong'gao 复方南星止痛膏
'fu'fang'niu'huang'qing'wei'wan 复方牛黄清胃丸
'fu'fang'niu'huang'xiao'yan'jiao'nang 复方牛黄消炎胶囊
'fu'fang'pi'pa'tang'jiang 复方枇杷糖浆
'fu'fang'pi'pa'ye'gao 复方枇杷叶膏
'fu'fang'pi'pa'zhi'ke'ke'li 复方枇杷止咳颗粒
'fu'fang'pian'zai'huang'han'pian 复方片仔癀含片
'fu'fang'pian'zai'huang'ruan'gao 复方片仔癀软膏
'fu'fang'pian'zai'huang'zhi'chuang'ruan'gao 复方片仔癀痔疮软膏
'fu'fang'ping'bei'kou'fu'ye 复方平贝口服液
'fu'fang'pu'gong'ying'zhu'she'ye 复方蒲公英注射液
'fu'fang'pu'qin'jiao'nang 复方蒲芩胶囊
'fu'fang'pu'qin'pian 复方蒲芩片
'fu'fang'qi'cao'jiao'nang 复方杞草胶囊
'fu'fang'qi'guan'yan'jiao'nang 复方气管炎胶囊
'fu'fang'qi'guan'yan'pian 复方气管炎片
'fu'fang'qian'zheng'gao 复方牵正膏
'fu'fang'qiang'wei'hong'jing'tian'kou'fu'ye 复方蔷薇红景天口服液
'fu'fang'qin'lan'kou'fu'ye 复方芩兰口服液
'fu'fang'qing'dai'guan'zhu'ye 复方清带灌注液
'fu'fang'qing'dai'jiao'nang 复方青黛胶囊
'fu'fang'qing'dai'pian 复方青黛片
'fu'fang'qing'dai'san 复方清带散
'fu'fang'qing'dai'wan 复方青黛丸
'fu'fang'qing'gan'lan'li'yan'han'pian 复方青橄榄利咽含片
'fu'fang'qing'guo'ke'li 复方青果颗粒
'fu'fang'qing'hao'cha'ji 复方青蒿搽剂
'fu'fang'qing'hao'pen'wu'ji 复方青蒿喷雾剂
'fu'fang'qu'chong'ban'jiu'ju'wan 复方驱虫斑鸠菊丸
'fu'fang'quan'can'pian 复方拳参片
'fu'fang're'fu'san 复方热敷散
'fu'fang'ren'dong'ye'ju'gan'mao'pian 复方忍冬野菊感冒片
'fu'fang'sai'long'jiao'nang 复方塞隆胶囊
'fu'fang'sai'long'pian 复方塞隆片
'fu'fang'san'qi'bu'xue'jiao'nang 复方三七补血胶囊
'fu'fang'san'qi'bu'xue'pian 复方三七补血片
'fu'fang'san'qi'jiao'nang 复方三七胶囊
'fu'fang'san'qi'pian 复方三七片
'fu'fang'san'qi'wan 复方三七丸
'fu'fang'san'ye'xiang'cha'cai'pian 复方三叶香茶菜片
'fu'fang'sang'ju'gan'mao'jiao'nang 复方桑菊感冒胶囊
'fu'fang'sang'ju'gan'mao'ke'li 复方桑菊感冒颗粒
'fu'fang'sang'ju'gan'mao'pian 复方桑菊感冒片
'fu'fang'sang'shen'he'ji 复方桑椹合剂
'fu'fang'sha'ji'zi'you'shuan 复方沙棘籽油栓
'fu'fang'shang'fu'ning'gao 复方伤复宁膏
'fu'fang'shang'tong'jiao'nang 复方伤痛胶囊
'fu'fang'she'dan'chen'pi'mo 复方蛇胆陈皮末
'fu'fang'she'dan'chuan'bei'mo 复方蛇胆川贝末
'fu'fang'she'dan'chuan'bei'san 复方蛇胆川贝散
'fu'fang'she'xiang'zhu'she'ye 复方麝香注射液
'fu'fang'she'zhi'ruan'gao 复方蛇脂软膏
'fu'fang'shen'jin'jiao'nang 复方伸筋胶囊
'fu'fang'shen'qi'kou'fu'ye 扶芳参芪口服液
'fu'fang'shen'yan'pian 复方肾炎片
'fu'fang'shi'hu'pian 复方石斛片
'fu'fang'shi'lin'tong'jiao'nang 复方石淋通胶囊
'fu'fang'shi'lin'tong'pian 复方石淋通片
'fu'fang'shi'wei'jiao'nang 复方石韦胶囊
'fu'fang'shi'wei'ju'jue'pian 复方石韦咀嚼片
'fu'fang'shi'wei'ke'li 复方石韦颗粒
'fu'fang'shi'wei'pian 复方石韦片
'fu'fang'shou'can'wan 复方手参丸
'fu'fang'shou'can'yi'zhi'jiao'nang 复方手参益智胶囊
'fu'fang'shou'wu'bu'ye 复方首乌补液
'fu'fang'shou'wu'di'huang'wan 复方首乌地黄丸
'fu'fang'shou'wu'kou'fu'ye 复方首乌口服液
'fu'fang'shuang'hua'ju'jue'pian 复方双花咀嚼片
'fu'fang'shuang'hua'ke'li 复方双花颗粒
'fu'fang'shuang'hua'kou'fu'ye 复方双花口服液
'fu'fang'shuang'hua'pian 复方双花片
'fu'fang'shuang'hua'tang'jiang 复方双花糖浆
'fu'fang'shuang'hua'teng'zhi'yang'cha'ji 复方双花藤止痒搽剂
'fu'fang'shuang'jin'zhi'chuang'gao 复方双金痔疮膏
'fu'fang'si'ya'dan'sheng'fa'ding 复方斯亚旦生发酊
'fu'fang'si'ya'dan'sheng'fa'you 复方斯亚旦生发油
'fu'fang'song'rong'jiao'nang 复方松茸胶囊
'fu'fang'suan'teng'xiao'zhi'jiao'nang 复方酸藤消痔胶囊
'fu'fang'suo'yang'kou'fu'ye 复方锁阳口服液
'fu'fang'tai'pan'pian 复方胎盘片
'fu'fang'tai'zi'shen'ke'li 复方太子参颗粒
'fu'fang'tai'zi'shen'kou'fu'ye 复方太子参口服液
'fu'fang'tai'zi'shen'zhi'ke'yi'qi'san 复方太子参止咳益气散
'fu'fang'teng'guo'zhi'chuang'shuan 复方藤果痔疮栓
'fu'fang'tian'ma'jiao'nang 复方天麻胶囊
'fu'fang'tian'ma'ke'li 复方天麻颗粒
'fu'fang'tian'ma'pian 复方天麻片
'fu'fang'tian'ma'yi'yin'jiu 复方天麻益阴酒
'fu'fang'tian'qi'wei'tong'jiao'nang 复方田七胃痛胶囊
'fu'fang'tian'qi'wei'tong'pian 复方田七胃痛片
'fu'fang'tian'xian'jiao'nang 复方天仙胶囊
'fu'fang'tong'ye'shao'shang'you 复方桐叶烧伤油
'fu'fang'tou'gu'xiang'ru'gao 复方透骨香乳膏
'fu'fang'tu'jin'pi'ding 复方土槿皮酊
'fu'fang'tu'jing'pi'ding 复方土荆皮酊
'fu'fang'tu'jing'pi'ning'jiao 复方土荆皮凝胶
'fu'fang'wan'nian'qing'jiao'nang 复方万年青胶囊
'fu'fang'wei'ning'jiao'nang 复方胃宁胶囊
'fu'fang'wei'ning'pian 复方胃宁片
'fu'fang'wei'tong'jiao'nang 复方胃痛胶囊
'fu'fang'wu'bin'ke'li 复方乌槟颗粒
'fu'fang'wu'hua'guo'han'pian 复方无花果含片
'fu'fang'wu'ji'jiao'nang 复方乌鸡胶囊
'fu'fang'wu'ji'ke'li 复方乌鸡颗粒
'fu'fang'wu'ji'kou'fu'ye 复方乌鸡口服液
'fu'fang'wu'ji'wan 复方乌鸡丸
'fu'fang'wu'li'kou'fu'ye 复方乌鳢口服液
'fu'fang'wu'mei'qu'shu'ke'li 复方乌梅祛暑颗粒
'fu'fang'wu'ren'chun'jiao'nang 复方五仁醇胶囊
'fu'fang'wu'wei'zi'ding 复方五味子酊
'fu'fang'wu'zhi'gan'jiao'nang 复方五指柑胶囊
'fu'fang'wu'zhi'gan'pian 复方五指柑片
'fu'fang'xi'ling'jie'du'jiao'nang 复方西羚解毒胶囊
'fu'fang'xi'ling'jie'du'pian 复方西羚解毒片
'fu'fang'xi'ling'jie'du'wan 复方西羚解毒丸
'fu'fang'xia'ku'cao'gao 复方夏枯草膏
'fu'fang'xia'ku'cao'jiang'ya'ke'li 复方夏枯草降压颗粒
'fu'fang'xia'ku'cao'jiang'ya'tang'jiang 复方夏枯草降压糖浆
'fu'fang'xia'tian'wu'pian 复方夏天无片
'fu'fang'xian'he'cao'chang'yan'jiao'nang 复方仙鹤草肠炎胶囊
'fu'fang'xian'he'cao'chang'yan'pian 复方仙鹤草肠炎片
'fu'fang'xian'ling'feng'shi'jiu 复方仙灵风湿酒
'fu'fang'xian'ling'pi'jiu 复方仙灵脾酒
'fu'fang'xian'mao'bu'shen'kou'fu'ye 复方仙茅补肾口服液
'fu'fang'xian'shi'hu'jiao'nang 复方鲜石斛胶囊
'fu'fang'xian'shi'hu'ke'li 复方鲜石斛颗粒
'fu'fang'xian'zhu'li'ye 复方鲜竹沥液
'fu'fang'xiang'ru'shui 复方香薷水
'fu'fang'xiao'er'tui're'shuan 复方小儿退热栓
'fu'fang'xiao'huo'luo'wan 复方小活络丸
'fu'fang'xiao'shi'cha 复方消食茶
'fu'fang'xiao'shi'ke'li 复方消食颗粒
'fu'fang'xiao'zhi'shuan 复方消痔栓
'fu'fang'xing'xiang'tu'er'feng'jiao'nang 复方杏香兔耳风胶囊
'fu'fang'xing'xiang'tu'er'feng'ke'li 复方杏香兔耳风颗粒
'fu'fang'xing'xiang'tu'er'feng'kou'fu'ye 复方杏香兔耳风口服液
'fu'fang'xing'xiang'tu'er'feng'pian 复方杏香兔耳风片
'fu'fang'xiong'dan'di'yan'ye 复方熊胆滴眼液
'fu'fang'xiong'dan'qing'gan'ke'li 复方熊胆清肝颗粒
'fu'fang'xiong'dan'tong'bi'pen'wu'ji 复方熊胆通鼻喷雾剂
'fu'fang'xiong'dan'yi'gan'jiao'nang 复方熊胆乙肝胶囊
'fu'fang'xiong'e'qiang'shen'jiao'nang 复方雄蛾强肾胶囊
'fu'fang'xiong'e'yi'jing'kou'fu'ye 复方雄蛾益精口服液
'fu'fang'xu'duan'jie'gu'wan 复方续断接骨丸
'fu'fang'xuan'ju'jiao'nang 复方玄驹胶囊
'fu'fang'xuan'ju'yi'qi'pian 复方玄驹益气片
'fu'fang'xue'lian'jiao'nang 复方雪莲胶囊
'fu'fang'xue'lian'ruan'jiao'nang 复方雪莲软胶囊
'fu'fang'xue'lian'shao'shang'gao 复方雪莲烧伤膏
'fu'fang'xue'shen'jiao'nang 复方雪参胶囊
'fu'fang'xue'shuan'tong'di'wan 复方血栓通滴丸
'fu'fang'xue'shuan'tong'jiao'nang 复方血栓通胶囊
'fu'fang'xue'shuan'tong'ke'li 复方血栓通颗粒
'fu'fang'xue'shuan'tong'pian 复方血栓通片
'fu'fang'xue'shuan'tong'ruan'jiao'nang 复方血栓通软胶囊
'fu'fang'xue'teng'yao'jiu 复方血藤药酒
'fu'fang'ya'tong'ding 复方牙痛酊
'fu'fang'ya'tong'ning'cha'ji 复方牙痛宁搽剂
'fu'fang'yan'hu'suo'pen'wu'ji 复方延胡索喷雾剂
'fu'fang'yan'lian'pian 复方岩连片
'fu'fang'yang'gan'wan 复方羊肝丸
'fu'fang'yang'jiao'jiao'nang 复方羊角胶囊
'fu'fang'yang'jiao'ke'li 复方羊角颗粒
'fu'fang'yang'jiao'pian 复方羊角片
'fu'fang'yang'shen'wang'jiang'jiao'nang 复方洋参王浆胶囊
'fu'fang'yang'shen'zhi'ke'jiao'nang 复方洋参止咳胶囊
'fu'fang'ye'ju'gan'mao'ke'li 复方野菊感冒颗粒
'fu'fang'ye'ma'zhui'ke'li 复方野马追颗粒
'fu'fang'ye'ma'zhui'tang'jiang 复方野马追糖浆
'fu'fang'yi'gan'ling'jiao'nang 复方益肝灵胶囊
'fu'fang'yi'gan'ling'pian 复方益肝灵片
'fu'fang'yi'gan'ling'ruan'jiao'nang 复方益肝灵软胶囊
'fu'fang'yi'gan'wan 复方益肝丸
'fu'fang'yi'mu'cao'gao 复方益母草膏
'fu'fang'yi'mu'cao'jiao'nang 复方益母草胶囊
'fu'fang'yi'mu'cao'liu'jin'gao 复方益母草流浸膏
'fu'fang'yi'mu'jiao'nang 复方益母胶囊
'fu'fang'yi'mu'ke'li 复方益母颗粒
'fu'fang'yi'mu'kou'fu'ye 复方益母口服液
'fu'fang'yi'mu'pian 复方益母片
'fu'fang'yi'mu'yang'shen'kou'fu'ye 复方益母养肾口服液
'fu'fang'yi'zhi'bu'shen'kou'fu'ye 复方益智补肾口服液
'fu'fang'yi'zhi'hao'ke'li 复方一枝蒿颗粒
'fu'fang'yi'zhi'hao'pian 复方一枝蒿片
'fu'fang'yi'zhi'huang'hua'pen'wu'ji 复方一枝黄花喷雾剂
'fu'fang'yin'chen'tang'jiang 复方茵陈糖浆
'fu'fang'yin'hua'jie'du'ke'li 复方银花解毒颗粒
'fu'fang'yin'xing'tong'mai'kou'fu'ye 复方银杏通脉口服液
'fu'fang'yin'xing'ye'ke'li 复方银杏叶颗粒
'fu'fang'yin'yang'huo'kou'fu'ye 复方淫羊藿口服液
'fu'fang'yu'gan'zi'li'yan'han'pian 复方余甘子利咽含片
'fu'fang'yu'xing'cao'di'wan 复方鱼腥草滴丸
'fu'fang'yu'xing'cao'he'ji 复方鱼腥草合剂
'fu'fang'yu'xing'cao'jiao'nang 复方鱼腥草胶囊
'fu'fang'yu'xing'cao'ke'li 复方鱼腥草颗粒
'fu'fang'yu'xing'cao'pian 复方鱼腥草片
'fu'fang'yu'xing'cao'ruan'jiao'nang 复方鱼腥草软胶囊
'fu'fang'yu'xing'cao'tang'jiang 复方鱼腥草糖浆
'fu'fang'yuan'hu'zhi'tong'jiao'nang 复方元胡止痛胶囊
'fu'fang'yuan'hu'zhi'tong'pian 复方元胡止痛片
'fu'fang'zang'hong'hua'you 复方藏红花油
'fu'fang'zao'fan'jiao'nang 复方皂矾胶囊
'fu'fang'zao'fan'pian 复方皂矾片
'fu'fang'zao'fan'wan 复方皂矾丸
'fu'fang'zao'ren'jiao'nang 复方枣仁胶囊
'fu'fang'zhang'bo'ruan'gao 复方樟薄软膏
'fu'fang'zhang'nao'ruan'gao 复方樟脑软膏
'fu'fang'zhe'gu'cai'san 复方鹧鸪菜散
'fu'fang'zhen'hua'shu'gan'jiao'nang 复方榛花舒肝胶囊
'fu'fang'zhen'zhu'an'chuang'jiao'nang 复方珍珠暗疮胶囊
'fu'fang'zhen'zhu'an'chuang'pian 复方珍珠暗疮片
'fu'fang'zhen'zhu'jie'du'kou'fu'ye 复方珍珠解毒口服液
'fu'fang'zhen'zhu'kou'chuang'ke'li 复方珍珠口疮颗粒
'fu'fang'zhen'zhu'kou'fu'ye 复方珍珠口服液
'fu'fang'zhen'zhu'san 复方珍珠散
'fu'fang'zhi'ke'jiao'nang 复方止咳胶囊
'fu'fang'zhi'ke'pian 复方止咳片
'fu'fang'zhi'shi'pian 复方枳实片
'fu'fang'zhi'zi'gao 复方栀子膏
'fu'fang'zhi'zi'qi'wu'ji 复方栀子气雾剂
'fu'fang'zhi'zi'zhi'tong'gao 复方栀子止痛膏
'fu'fang'zhui'feng'gao 复方追风膏
'fu'fang'zi'bu'li'gao 复方滋补力膏
'fu'fang'zi'can'ke'li 复方紫参颗粒
'fu'fang'zi'cao'qi'wu'ji 复方紫草气雾剂
'fu'fang'zi'cao'you 复方紫草油
'fu'fang'zi'jing'xiao'shang'ba'bu'gao 复方紫荆消伤巴布膏
'fu'fang'zi'su'you'ruan'jiao'nang 复方紫苏油软胶囊
'fu'fang'zu'si'ma'zhi'tong'gao 复方祖司麻止痛膏
'fu'fu'kang'pen'wu'ji 妇肤康喷雾剂
'fu'gan'kang'jiao'nang 复肝康胶囊
'fu'gan'kang'ke'li 复肝康颗粒
'fu'gan'lin'kou'fu'ye 馥感啉口服液
'fu'gan'neng'jiao'nang 复肝能胶囊
'fu'gan'neng'pian 复肝能片
'fu'gan'ning'jiao'nang 复肝宁胶囊
'fu'gan'ning'ke'li 复肝宁颗粒
'fu'gan'ning'pian 复肝宁片
'fu'gui'feng'shi'gao 附桂风湿膏
'fu'gui'gu'tong'jiao'nang 附桂骨痛胶囊
'fu'gui'gu'tong'ke'li 附桂骨痛颗粒
'fu'gui'gu'tong'pian 附桂骨痛片
'fu'gui'zi'jin'gao 附桂紫金膏
'fu'ji'xi'ji 肤疾洗剂
'fu'jie'cha'ji 妇洁搽剂
'fu'jie'shu'xi'ye 妇洁舒洗液
'fu'jie'yin'xi'ye 妇洁阴洗液
'fu'jing'kang'xi'ji 肤净康洗剂
'fu'kang'ai'ke'li 辅康艾颗粒
'fu'kang'bao'he'ji 妇康宝合剂
'fu'kang'bao'jian'gao 妇康宝煎膏
'fu'kang'bao'ke'li 妇康宝颗粒
'fu'kang'bao'kou'fu'ye 妇康宝口服液
'fu'kang'cha'ji 肤康搽剂
'fu'kang'jiao'nang 妇康胶囊
'fu'kang'kou'fu'ye 妇康口服液
'fu'kang'ning'jiao'nang 妇康宁胶囊
'fu'kang'ning'pian 妇康宁片
'fu'kang'pian 妇康片
'fu'kang'pian 福康片
'fu'kang'shuan 妇康栓
'fu'kang'wan 妇康丸
'fu'ke'an'fen'san'pian 腹可安分散片
'fu'ke'an'pian 腹可安片
'fu'ke'bai'dai'gao 妇科白带膏
'fu'ke'bai'dai'jiao'nang 妇科白带胶囊
'fu'ke'bai'dai'pian 妇科白带片
'fu'ke'bai'feng'jiao'nang 妇科白凤胶囊
'fu'ke'bai'feng'ke'li 妇科白凤颗粒
'fu'ke'bai'feng'kou'fu'ye 妇科白凤口服液
'fu'ke'bai'feng'pian 妇科白凤片
'fu'ke'de'sheng'wan 妇科得生丸
'fu'ke'duan'hong'yin'jiao'nang 妇科断红饮胶囊
'fu'ke'fen'qing'wan 妇科分清丸
'fu'ke'hui'sheng'wan 妇科回生丸
'fu'ke'jin'dan 妇科金丹
'fu'ke'jing'jiao'nang 妇可靖胶囊
'fu'ke'mao'ji'jiu 妇科毛鸡酒
'fu'ke'ning'kun'wan 妇科宁坤丸
'fu'ke'qian'jin'jiao'nang 妇科千金胶囊
'fu'ke'qian'jin'pian 妇科千金片
'fu'ke'qian'jin'wan 妇科千金丸
'fu'ke'shi'wei'jiao'nang 妇科十味胶囊
'fu'ke'shi'wei'pian 妇科十味片
'fu'ke'tiao'jing'di'wan 妇科调经滴丸
'fu'ke'tiao'jing'jiao'nang 妇科调经胶囊
'fu'ke'tiao'jing'ke'li 妇科调经颗粒
'fu'ke'tiao'jing'pian 妇科调经片
'fu'ke'wan'ying'gao 妇科万应膏
'fu'ke'yang'kun'wan 妇科养坤丸
'fu'ke'yang'rong'jiao'nang 妇科养荣胶囊
'fu'ke'yang'rong'wan 妇科养荣丸
'fu'ke'yang'xue'ke'li 妇科养血颗粒
'fu'ke'zai'zao'jiao'nang 妇科再造胶囊
'fu'ke'zai'zao'wan 妇科再造丸
'fu'ke'zhi'dai'jiao'nang 妇科止带胶囊
'fu'ke'zhi'dai'pian 妇科止带片
'fu'ke'zhi'xue'ling 妇科止血灵
'fu'ke'zhi'xue'ling'jiao'nang 妇科止血灵胶囊
'fu'ke'zhi'xue'ling'pian 妇科止血灵片
'fu'ke'zhi'yang'jiao'nang 妇科止痒胶囊
'fu'ke'zhi'yang'pian 妇科止痒片
'fu'le'jiao'nang 妇乐胶囊
'fu'le'ke'li 妇乐颗粒
'fu'le'pian 妇乐片
'fu'le'tang'jiang 妇乐糖浆
'fu'liang'jiao'nang 妇良胶囊
'fu'liang'pian 妇良片
'fu'ling'duo'tang'kou'fu'ye 茯苓多糖口服液
'fu'ma'kai'bi'pian 附马开痹片
'fu'mai'ding'jiao'nang 复脉定胶囊
'fu'mai'ding'ke'li 复脉定颗粒
'fu'man'ling'ruan'gao 肤螨灵软膏
'fu'ming'jiao'nang 复明胶囊
'fu'ming'ke'li 复明颗粒
'fu'ming'pian 复明片
'fu'ning'jiao'nang 妇宁胶囊
'fu'ning'kang'jiao'nang 妇宁康胶囊
'fu'ning'kang'pian 妇宁康片
'fu'ning'ke'li 妇宁颗粒
'fu'ning'shuan 妇宁栓
'fu'ning'wan 妇宁丸
'fu'nv'tong'jing'ke'li 妇女痛经颗粒
'fu'nv'tong'jing'wan 妇女痛经丸
'fu'nv'yang'xue'wan 妇女养血丸
'fu'pian'ye 附片液
'fu'ping'jiao'nang 妇平胶囊
'fu'pu'gan'mao'jiao'nang 芙朴感冒胶囊
'fu'pu'gan'mao'ke'li 芙朴感冒颗粒
'fu'pu'xi'ye 茯蒲洗液
'fu'qi'zhi'han'ke'li 复芪止汗颗粒
'fu'qi'zhi'yang'xi'ji 肤芪止痒洗剂
'fu'qin'xi'ji 肤芩洗剂
'fu'rong'kang'liu'gan'jiao'nang 芙蓉抗流感胶囊
'fu'rong'kang'liu'gan'ke'li 芙蓉抗流感颗粒
'fu'rong'kang'liu'gan'pian 芙蓉抗流感片
'fu'shen'ning'jiao'nang 复肾宁胶囊
'fu'shen'ning'pian 复肾宁片
'fu'sheng'kang'jiao'nang 复生康胶囊
'fu'sheng'kang'pian 复生康片
'fu'shou'cao'pian 福寿草片
'fu'shou'jiao'nang 福寿胶囊
'fu'shu'wan 妇舒丸
'fu'shu'zhi'yang'gao 肤舒止痒膏
'fu'tong'ning'chang'rong'ruan'jiao'nang 妇痛宁肠溶软胶囊
'fu'tong'shui 腹痛水
'fu'tu'wan 茯菟丸
'fu'wei'san'jiao'nang 复胃散胶囊
'fu'wei'san'pian 复胃散片
'fu'xin'jiao'nang 复心胶囊
'fu'xin'pian 复心片
'fu'xue'an'pian 妇血安片
'fu'xue'kang'ke'li 妇血康颗粒
'fu'xue'kou'fu'ye 富血口服液
'fu'yan'jing'jiao'nang 妇炎净胶囊
'fu'yan'jing'pian 妇炎净片
'fu'yan'kang'fen'san'pian 妇炎康分散片
'fu'yan'kang'fu'jiao'nang 妇炎康复胶囊
'fu'yan'kang'fu'ju'jue'pian 妇炎康复咀嚼片
'fu'yan'kang'fu'ke'li 妇炎康复颗粒
'fu'yan'kang'fu'pian 妇炎康复片
'fu'yan'kang'jiao'nang 妇炎康胶囊
'fu'yan'kang'ke'li 妇炎康颗粒
'fu'yan'kang'pian 妇炎康片
'fu'yan'kang'ruan'jiao'nang 妇炎康软胶囊
'fu'yan'kang'wan 妇炎康丸
'fu'yan'ling'jiao'nang 妇炎灵胶囊
'fu'yan'ling'pao'teng'pian 妇炎灵泡腾片
'fu'yan'ling'shuan 妇炎灵栓
'fu'yan'ping'jiao'nang 妇炎平胶囊
'fu'yan'ping'san 妇炎平散
'fu'yan'ping'shuan 妇炎平栓
'fu'yan'ping'yin'dao'pao'teng'pian 妇炎平阴道泡腾片
'fu'yan'qing'xi'ji 妇炎清洗剂
'fu'yan'shu'jiao'nang 妇炎舒胶囊
'fu'yan'shu'pian 妇炎舒片
'fu'yan'tai'ke'li 妇炎泰颗粒
'fu'yan'xiao'jiao'nang 妇炎消胶囊
'fu'yan'xiao'kou'fu'ye 妇炎消口服液
'fu'yan'xiao'pao'teng'pian 妇炎消泡腾片
'fu'yang'jiao'nang 肤痒胶囊
'fu'yang'ke'li 肤痒颗粒
'fu'yang'san 肤疡散
'fu'yi'can'jiu 茯蚁参酒
'fu'yin'kang'xi'ji 妇阴康洗剂
'fu'yin'shu'pao'teng'pian 妇阴舒泡腾片
'fu'yuan'jiao'nang 茯元胶囊
'fu'yuan'kou'fu'ye 扶元口服液
'fu'yue'kang'jiao'nang 妇月康胶囊
'fu'yue'kang'ke'li 妇月康颗粒
'fu'yue'kang'pian 妇月康片
'fu'zheng'bu'xue'ke'li 扶正补血颗粒
'fu'zheng'gu'ben'ke'li 扶正固本颗粒
'fu'zheng'hua'yu'jiao'nang 扶正化瘀胶囊
'fu'zheng'hua'yu'pian 扶正化瘀片
'fu'zheng'san'jie'he'ji 扶正散结合剂
'fu'zheng'yang'sheng'wan 扶正养生丸
'fu'zheng'yang'yin'wan 扶正养阴丸
'fu'zhi'qing'ruan'gao 肤痔清软膏
'fu'zhi'suan'na'ke'li 腐植酸钠颗粒
'fu'zhi'suan'na'pian 腐植酸钠片
'fu'zi'e'jiao 福字阿胶
'fu'zi'li'zhong'kou'fu'ye 附子理中口服液
'fu'zi'li'zhong'pian 附子理中片
'fu'zi'li'zhong'wan 附子理中丸
'fu'zi'li'zhong'ye 附子理中液
'ga'ri'di'wu'wei'jiao'nang 嘎日迪五味胶囊
'ga'ri'di'wu'wei'wan 嘎日迪五味丸
'gan'bi'fu'jiao'nang 肝必复胶囊
'gan'bi'fu'ruan'jiao'nang 肝必复软胶囊
'gan'can'jiao'nang 甘参胶囊
'gan'cao'jin'gao 甘草浸膏
'gan'cao'liu'jin'gao 甘草流浸膏
'gan'cao'suan'dan'jia'yan'pian 甘草酸单钾盐片
'gan'cao'tian'su'jiao'nang 甘草甜素胶囊
'gan'cao'tian'su'pian 甘草甜素片
'gan'chang'jiao'nang 肝畅胶囊
'gan'da'jiao'nang 肝达胶囊
'gan'da'kang'jiao'nang 肝达康胶囊
'gan'da'kang'ke'li 肝达康颗粒
'gan'da'kang'pian 肝达康片
'gan'da'pian 肝达片
'gan'dan'qing'jiao'nang 肝胆清胶囊
'gan'dan'qing'pian 肝胆清片
'gan'dan'shu'kang'jiao'nang 肝胆舒康胶囊
'gan'dan'shuang'qing'ke'li 肝胆双清颗粒
'gan'dan'shuang'qing'kou'fu'ye 肝胆双清口服液
'gan'de'le'jiao'nang 肝得乐胶囊
'gan'de'zhi'jiao'nang 肝得治胶囊
'gan'de'zhi'pian 肝得治片
'gan'du'jing'ke'li 肝毒净颗粒
'gan'du'jing'wan 肝毒净丸
'gan'fu'kang'wan 肝复康丸
'gan'fu'ke'li 肝复颗粒
'gan'fu'ke'li 肝福颗粒
'gan'fu'le'jiao'nang 肝复乐胶囊
'gan'fu'le'pian 肝复乐片
'gan'guo'han'pian 甘果含片
'gan'hai'wei'kang'jiao'nang 甘海胃康胶囊
'gan'hai'wei'kang'pian 甘海胃康片
'gan'he'cha 甘和茶
'gan'ji'san 疳积散
'gan'jia'xin'jiao'nang 肝加欣胶囊
'gan'jia'xin'pian 肝加欣片
'gan'jian'jiao'nang 肝健胶囊
'gan'jing'bu'xue'su'kou'fu'ye 肝精补血素口服液
'gan'ju'bing'mei'pian 甘桔冰梅片
'gan'ju'qing'yan'ke'li 甘桔清咽颗粒
'gan'kang'ke'li 肝康颗粒
'gan'kang'ning'pian 肝康宁片
'gan'kang'pian 肝康片
'gan'ke'shuang'qing'jiao'nang 感咳双清胶囊
'gan'lan'jing'ke'li 橄榄晶颗粒
'gan'le'xin'jiao'nang 肝乐欣胶囊
'gan'lin'xi'ji 甘霖洗剂
'gan'long'jiao'nang 肝龙胶囊
'gan'lu'cha 甘露茶
'gan'lu'jie're'kou'fu'ye 甘露解热口服液
