'a'bo'ding'an'na'bo'li'si'yi'chang 阿伯丁安纳波利斯异常
'duo'fa'xing'xia'zhi'xue'guan'sun'shang 多发性下肢血管损伤
'duo'fa'xing'xian'liu'yang'xi'rou 多发性腺瘤样息肉
'duo'fa'xing'ying'hua 多发性硬化
'duo'fa'xing'ying'hua'xing'chi'dai 多发性硬化性痴呆
'duo'fa'xing'ying'hua'yin'qi'de'jing'shen'bing 多发性硬化引起的精神病
'duo'fa'xing'zhi'fang'liu 多发性脂肪瘤
'duo'fa'xing'zhi'nang'liu'pi'zhi'nang'liu'bing 多发性脂囊瘤皮脂囊瘤病
'duo'fang'ji'qiu'tao'chong'gan'ran 多房棘球绦虫感染
'duo'fang'nang'zhong 多房囊肿
'duo'gao'ji'xing 多睾畸形
'duo'ge'bu'wei'bi'dou'yan'bu'bao'kuo'quan'bi'dou'yan 多个部位鼻窦炎不包括全鼻窦炎
'duo'ge'bu'wei'fu'shi'shang 多个部位腐蚀伤
'duo'ge'bu'wei'shao'shang 多个部位烧伤
'duo'ge'da'nao'dong'mai'bi'se'he'xia'zhai 多个大脑动脉闭塞和狭窄
'duo'ge'lu'nei'dong'mai'de'zhu'wang'mo'xia'chu'xie 多个颅内动脉的蛛网膜下出血
'duo'ge'quan'bu'huo'bu'fen'zhi'chuang'shang'xing'jie'duan 多个全部或部分趾创伤性截断
'duo'ge'ru'nao'qian'dong'mai'de'bi'se'he'xia'zhai 多个入脑前动脉的闭塞和狭窄
'duo'ge'xian'ti'e'xing'zhong'liu 多个腺体恶性肿瘤
'duo'ge'xian'ti'liang'xing'zhong'liu 多个腺体良性肿瘤
'duo'ge'xin'ban'mo'ji'bing 多个心瓣膜疾病
'duo'ge'zhui'gu'jie'he 多个椎骨结核
'duo'gu'xian'wei'jie'gou'bu'liang 多骨纤维结构不良
'duo'gu'xing'gu'xian'wei'yi'yang'zeng'zhi'zheng 多骨性骨纤维异样增殖症
'duo'guan'jie'tong 多关节痛
'duo'guan'jie'yan 多关节炎
'duo'han'zheng 多汗症
'duo'ji'yan 多肌炎
'duo'ji'yan'ban'fei'jian'zhi'xian'wei'hua 多肌炎伴肺间质纤维化
'duo'jiang'mo'yan 多浆膜炎
'duo'ju'jia'quan'yi'wai'zhong'du 多聚甲醛意外中毒
'duo'kai'xing'jing'zhui'tuo'wei 哆开性颈椎脱位
'duo'kai'xing'kuan'guan'jie'tuo'wei 哆开性髋关节脱位
'duo'ke'long'bing'qiu'dan'bai'bing 多克隆丙球蛋白病
'duo'ke'long'gao'bing'zhong'qiu'dan'bai'xue'zheng 多克隆高丙种球蛋白血症
'duo'lv'ping'zhong'du 多虑平中毒
'duo'lv'ping'zi'sha 多虑平自杀
'duo'mai'guan'yan'chong'die'zong'he'zheng 多脉管炎重叠综合征
'duo'mao'xi'bao'xing'bai'xue'bing 多毛细胞性白血病
'duo'mao'zheng 多毛症
'duo'nang'fei 多囊肺
'duo'nang'gan 多囊肝
'duo'nang'luan'chao'zong'he'zheng 多囊卵巢综合征
'duo'nang'luan'chao'zong'he'zheng'si'li'er'shi'zong'he'zheng 多囊卵巢综合征斯利二氏综合征
'duo'nang'pi 多囊脾
'duo'nang'shen 多囊肾
'duo'niao 多尿
'duo'pao'fei'zong'he'zheng 多泡肺综合征
'duo'qi'guan'ka'bo'xi'rou'liu 多器官卡波西肉瘤
'duo'shen'dong'mai 多肾动脉
'duo'shen'jing'bing 多神经病
'duo'shen'jing'xi'tong'bian'xing 多神经系统变性
'duo'sheng'chi 多生齿
'duo'tai'chan 多胎产
'duo'tai'chan'fen'mian'de'jie'guo 多胎产分娩的结果
'duo'tai'chu'sheng'di'dian 多胎出生地点
'duo'tai'huo'chan 多胎活产
'duo'tai'huo'ying'chu'sheng'di'dian 多胎活婴出生地点
'duo'tai'jun'jie'zhu'chan'qian'he'zhen'kong'xi'yin'qi'fen'mian 多胎均借助产钳和真空吸引器分娩
'duo'tai'jun'jing'pou'gong'chan'shu'fen'mian 多胎均经剖宫产术分娩
'duo'tai'jun'wei'shun'chan'fen'mian 多胎均为顺产分娩
'duo'tai'qi'ta'fen'mian 多胎其他分娩
'duo'tai'ren'shen 多胎妊娠
'duo'tai'ren'shen'zhong'de'di'er'ge'ji'yi'shang'tai'er'de'yan'chi'fen'mian 多胎妊娠中的第二个及以上胎儿的延迟分娩
'duo'tou'tao'chong'you'bing 多头绦虫蚴病
'duo'xi'tong'bian'xing 多系统变性
'duo'xi'tong'ji'fa'xing'e'xing'zhong'liu 多系统继发性恶性肿瘤
'duo'xi'tong'jie'he 多系统结核
'duo'xian'ti'ji'neng'kang'jin 多腺体机能亢进
'duo'xian'ti'ji'neng'zhang'ai 多腺体机能障碍
'duo'xian'ti'que'fa 多腺体缺乏
'duo'xing'hong'ban'shen'chu'xing'duo'xing'hong'ban 多形红斑渗出性多形红斑
'duo'xing'xing'hong'ban'guan'jie'bing 多形性红斑关节病
'duo'xing'xing'pao'zhen'yang'pi'yan 多形性疱疹样皮炎
'duo'yin 多饮
'duo'zao'xing'guo'zao'bo'dong 多灶性过早搏动
'duo'zhi'jie'duan 多趾截断
'duo'zhi'zhi 多指趾
'duo'zhi'zhi'he'bing'zhi'zhi 多指趾和并指趾
'duo'zhong'yao'wu'zhong'du 多种药物中毒
'duo'zhong'ying'yang'yuan'su'que'fa 多种营养元素缺乏
'e'bai'ban 腭白斑
'e'bian'tao'ti'e'xing'zhong'liu 腭扁桃体恶性肿瘤
'e'bing'zhi 恶病质
'e'bu'ba'hen'zu'zhi 腭部疤痕组织
'e'bu'hai'mian'zhuang'xue'guan'liu 额部海绵状血管瘤
'e'bu'kui'yang 腭部溃疡
'e'bu'nao'peng'chu 额部脑膨出
'e'bu'nong'zhong 额部脓肿
'e'bu'pi'fu'e'xing'zhong'liu 额部皮肤恶性肿瘤
'e'cuo'shang 额挫伤
'e'ding'ye'e'xing'zhong'liu 额顶叶恶性肿瘤
'e'dou'e'xing'zhong'liu 额窦恶性肿瘤
'e'dou'gu'zhe 额窦骨折
'e'dou'gu'zhe'ban'lu'nei'sun'shang 额窦骨折伴颅内损伤
'e'dou'liang'xing'zhong'liu 额窦良性肿瘤
'e'dou'nang'zhong 额窦囊肿
'e'dou'nong'zhong 额窦脓肿
'e'dou'yan 额窦炎
'e'e'xing'zhong'liu 腭恶性肿瘤
'e'gu'e'xing'zhong'liu 额骨恶性肿瘤
'e'gu'gu'zhe 腭骨骨折
'e'gu'gu'zhe 额骨骨折
'e'gu'gu'zhe'ban'kai'fang'xing'lu'nei'sun'shang 额骨骨折伴开放性颅内损伤
'e'gu'gu'zhe'ban'lu'nei'sun'shang 额骨骨折伴颅内损伤
'e'gu'jie'he 腭骨结核
'e'gu'kai'fang'xing'gu'zhe 额骨开放性骨折
'e'gu'liang'xing'zhong'liu 额骨良性肿瘤
'e'gu'nang'zhong 腭骨囊肿
'e'hou'tian'ji'xing 腭后天畸形
'e'jiao'da'kua'yue'de'e'xing'zhong'liu 腭交搭跨越的恶性肿瘤
'e'ka'bo'xi'rou'liu 腭卡波西肉瘤
'e'kou'chuang 鹅口疮
'e'kou'xian'chong'bing 颚口线虫病
'e'liang'xing'zhong'liu 腭良性肿瘤
'e'lie 腭裂
'e'lie'ban'chun'lie 腭裂伴唇裂
'e'lu'chan'hou'jing'yin'dao'pai'chu'he'fen'mi'wu 恶露产后经阴道排出和分泌物
'e'mu'si'ke'chu'xue're 鄂木斯克出血热
'e'ni 呃逆
'e'nian'mo'xi'rou 腭粘膜息肉
'e'nian'mo'yan'zheng 腭粘膜炎症
'e'nie'ding'ye'e'xing'zhong'liu 额颞顶叶恶性肿瘤
'e'pi'zhuang'lin'xuan 鳄皮状鳞癣
'e'qian'ye'cuo'lie'shang 额前叶挫裂伤
'e'shai'dou'nong'zhong 额筛窦脓肿
'e'si'chong'bing 恶丝虫病
'e'wai'biao'ji'ran'se'ti 额外标记染色体
'e'wai'de'ru'tou 额外的乳头
'e'xian'lu'yin'qi'de'geng'zu'xing'fen'mian 额先露引起的梗阻性分娩
'e'xian'tian'xing'ji'xing 腭先天性畸形
'e'xie'er'sai'ni'er'bing 厄谢尔赛尼尔病
'e'xin'bing'yun'chuan'yun'che'yun'fei'ji 恶心病晕船晕车晕飞机
'e'xing'bu'lun'na'shi'liu 恶性布伦纳氏瘤
'e'xing'chao'gao're'xing'nue'ji 恶性超高热型疟疾
'e'xing'du'li'de'duo'ge'bu'wei'de'zhong'liu 恶性独立的多个部位的肿瘤
'e'xing'fei'da'xi'bao'liu 恶性肥大细胞瘤
'e'xing'fei'da'xi'bao'zeng'duo'zheng 恶性肥大细胞增多症
'e'xing'fu'shui 恶性腹水
'e'xing'gao'xue'ya 恶性高血压
'e'xing'jian'pi'liu 恶性间皮瘤
'e'xing'jiang'xi'bao'liu 恶性浆细胞瘤
'e'xing'jin'shi'yan 恶性近视眼
'e'xing'jue'leng'xing'nue'ji 恶性厥冷型疟疾
'e'xing'kang'jing'shen'bing'yao'zong'he'zheng 恶性抗精神病药综合征
'e'xing'lin'ba'liu 恶性淋巴瘤
'e'xing'mai'luo'cong'ru'tou'zhuang'liu 恶性脉络丛乳头状瘤
'e'xing'mian'bu'rou'ya'zhong 恶性面部肉芽肿
'e'xing'mian'yi'zeng'sheng'xing'ji'bing 恶性免疫增生性疾病
'e'xing'nong'pao 恶性脓疱
'e'xing'nue'e'xing'jian'ri'nue 恶性疟恶性间日疟
'e'xing'pin'xue 恶性贫血
'e'xing'pu'tao'tai 恶性葡萄胎
'e'xing'qing'guang'yan 恶性青光眼
'e'xing'qiu'zhen'bing 恶性丘疹病
'e'xing'shi'ge'xi'bao'liu 恶性嗜铬细胞瘤
'e'xing'tan'ju'dong'mao'gong'bing 恶性炭疽栋毛工病
'e'xing'wai'er'dao'yan 恶性外耳道炎
'e'xing'wang'zhuang'nei'pi'zu'zhi'zeng'zhi 恶性网状内皮组织增殖
'e'xing'wang'zhuang'xi'bao'zeng'duo'zheng 恶性网状细胞增多症
'e'xing'xian'wei'shang'pi'liu'e'xing'bu'lun'na'liu 恶性纤维上皮瘤恶性布伦纳瘤
'e'xing'xiao'shen'jing'jiao'zhi'xi'bao'liu 恶性小神经胶质细胞瘤
'e'xing'xin'nei'mo'yan 恶性心内膜炎
'e'xing'xiong'xian'liu 恶性胸腺瘤
'e'xing'yi'dao'su'liu 恶性胰岛素瘤
'e'xing'ying'yang'bu'liang 恶性营养不良
'e'xing'yong 恶性痈
'e'xing'zhong'liu'fang'liao'hou'de'sui'zhen'jian'cha 恶性肿瘤放疗后的随诊检查
'e'xing'zhong'liu'hua'liao'hou'de'sui'zhen'jian'cha 恶性肿瘤化疗后的随诊检查
'e'xing'zhong'liu'ji'bing 恶性肿瘤肌病
'e'xing'zhong'liu'ji'wu'li'zong'he'zheng 恶性肿瘤肌无力综合征
'e'xing'zhong'liu'jia'zu'shi 恶性肿瘤家族史
'e'xing'zhong'liu'lian'he'zhi'liao'hou'de'sui'zhen'jian'cha 恶性肿瘤联合治疗后的随诊检查
'e'xing'zhong'liu'qi'ta'zhi'liao'hou'de'sui'zhen'jian'cha 恶性肿瘤其他治疗后的随诊检查
'e'xing'zhong'liu'qie'chu'ge'ren'shi 恶性肿瘤切除个人史
'e'xing'zhong'liu'shou'shu'hou'de'sui'zhen'jian'cha 恶性肿瘤手术后的随诊检查
'e'xing'zhong'liu'shu'hou'fang'liao 恶性肿瘤术后放疗
'e'xing'zhong'liu'wei'te'zhi'de'zhi'liao'hou'de'sui'zhen'jian'cha 恶性肿瘤未特指的治疗后的随诊检查
'e'xing'zhong'liu'xing'zhou'wei'shen'jing'bing 恶性肿瘤性周围神经病
'e'xing'zhong'xing'bai'xi'bao'jian'shao'zheng 恶性中性白细胞减少症
'e'xing'zu'zhi'xi'bao'bing 恶性组织细胞病
'e'xing'zu'zhi'xi'bao'zeng'duo'zheng 恶性组织细胞增多症
'e'xing'zu'zhi'xi'bao'zeng'duo'zheng'lei'ji'zhong'shu'shen'jing'xi'tong 恶性组织细胞增多症累及中枢神经系统
'e'xue'zhong 腭血肿
'e'ye'e'xing'zhong'liu 额叶恶性肿瘤
'e'ye'ji'fa'xing'e'xing'ai 额叶继发性恶性癌
'e'ye'lin'ba'rou'liu 额叶淋巴肉瘤
'e'ye'nao'mo'liang'xing'zhong'liu 额叶脑膜良性肿瘤
'e'ye'nao'mo'liu 额叶脑膜瘤
'e'ye'zong'he'zheng 额叶综合征
'e'zeng'sheng'zheng 腭增生症
'e'zheng'zhong'nang'zhong 腭正中囊肿
'e'zhi'nang'yan 鹅趾囊炎
'en'ge'man'shi'bing 恩格曼氏病
'en'qiao'tui'la'bing 恩乔推拉病
'en'wei'mei'su 恩维霉素
'er'bi'he'yan'hou'yong'kang'gan'ran'yao'zhong'du 耳鼻和咽喉用抗感染药中毒
'er'bu'dai'zhuang'pao'zhen 耳部带状疱疹
'er'bu'e'xing'zhong'liu 耳部恶性肿瘤
'er'bu'jie'di'zu'zhi'liang'xing'zhong'liu 耳部结缔组织良性肿瘤
'er'bu'pi'fu'jiao'jie'e'xing'zhong'liu 耳部皮肤交界恶性肿瘤
'er'bu'pi'xia'zhong'wu 耳部皮下肿物
'er'cao'zuo'hou'ji'huan 耳操作后疾患
'er'cha'fen'an'fen'mi'guo'duo 儿茶酚胺分泌过多
'er'chu'xie 耳出血
'er'chuang'shang'xing'qie'duan 耳创伤性切断
'er'chui'xian'tian'xing'que'shi 耳垂先天性缺失
'er'dao'lou 耳道瘘
'er'dao'xue'guan'liu 耳道血管瘤
'er'dao'yi'wu 耳道异物
'er'de'lou'guan 耳的瘘管
'er'gu'chuan'dao'ting'li'zhuang'zhi 耳骨传导听力装置
'er'he'ting'li'jian'cha 耳和听力检查
'er'he'wai'er'dao'de'pi'fu'yuan'wei'ai 耳和外耳道的皮肤原位癌
'er'hei'se'su'xi'bao'zhi 耳黑色素细胞痣
'er'hou'lou'guan 耳后瘘管
'er'hou'nang'zhong 耳后囊肿
'er'hou'nong'zhong 耳后脓肿
'er'hou'pi'fu'liang'xing'zhong'liu 耳后皮肤良性肿瘤
'er'hou'pi'xia'liang'xing'zhong'liu 耳后皮下良性肿瘤
'er'hou'xue'zhong'gu'hua 耳后血肿骨化
'er'hou'xue'zhong'ji'hua 耳后血肿机化
'er'hua'xue'xing'shao'shang 耳化学性烧伤
'er'ji'huan 耳疾患
'er'jia'ben'de'du'xing'xiao'ying 二甲苯的毒性效应
'er'jia'qiang'se'an 二甲羟色胺
'er'jian'ban'bi'suo'bu'quan 二尖瓣闭锁不全
'er'jian'ban'bi'suo'bu'quan'ban'zhu'dong'mai'ban'xia'zhai 二尖瓣闭锁不全伴主动脉瓣狭窄
'er'jian'ban'bi'suo'bu'quan'ban'zhu'dong'mai'ban'xia'zhai'he'zhu'dong'mai'lou 二尖瓣闭锁不全伴主动脉瓣狭窄和主动脉漏
'er'jian'ban'bi'suo'bu'quan'ji'zhu'dong'mai'ban'xia'zhai'bi'suo'bu'quan 二尖瓣闭锁不全及主动脉瓣狭窄闭锁不全
'er'jian'ban'bing 二尖瓣病
'er'jian'ban'gai'hua 二尖瓣钙化
'er'jian'ban'he'san'jian'ban'de'ji'huan 二尖瓣和三尖瓣的疾患
'er'jian'ban'hou'ye'tuo'chui 二尖瓣后叶脱垂
'er'jian'ban'ji'zhu'dong'mai'ban'bi'suo'bu'quan 二尖瓣及主动脉瓣闭锁不全
'er'jian'ban'ji'zhu'dong'mai'ban'ji'xing 二尖瓣及主动脉瓣畸形
'er'jian'ban'ji'zhu'dong'mai'ban'xia'zhai 二尖瓣及主动脉瓣狭窄
'er'jian'ban'ji'zhu'dong'mai'ban'xia'zhai'bi'suo'bu'quan 二尖瓣及主动脉瓣狭窄闭锁不全
'er'jian'ban'jian'suo'duan'lie 二尖瓣腱索断裂
'er'jian'ban'lie 二尖瓣裂
'er'jian'ban'shu'hou'xia'zhai 二尖瓣术后狭窄
'er'jian'ban'shuai'jie 二尖瓣衰竭
'er'jian'ban'tui'xing'xing'bian 二尖瓣退行性变
'er'jian'ban'tuo'chui 二尖瓣脱垂
'er'jian'ban'tuo'chui'zong'he'zheng 二尖瓣脱垂综合征
'er'jian'ban'xia'zhai'ban'zhu'dong'mai'ban'fan'liu 二尖瓣狭窄伴主动脉瓣返流
'er'jian'ban'xia'zhai'ban'zhu'dong'mai'ban'xia'zhai 二尖瓣狭窄伴主动脉瓣狭窄
'er'jian'ban'xia'zhai'ban'zhu'dong'mai'ban'xia'zhai'bi'suo'bu'quan 二尖瓣狭窄伴主动脉瓣狭窄闭锁不全
'er'jian'ban'xia'zhai'bi'suo'bu'quan 二尖瓣狭窄闭锁不全
'er'jian'ban'xia'zhai'bi'suo'bu'quan'ban'zhu'dong'mai'xia'zhai 二尖瓣狭窄闭锁不全伴主动脉狭窄
'er'jian'ban'xia'zhai'guan'bi'bu'quan'ji'zhu'dong'mai'ban'guan'bi'bu'quan 二尖瓣狭窄关闭不全及主动脉瓣关闭不全
'er'jian'ban'xian'tian'xing'ji'xing 二尖瓣先天性畸形
'er'jian'ban'zhu'dong'mai'ban'san'jian'ban'he'bing'ji'huan 二尖瓣主动脉瓣三尖瓣合并疾患
'er'jian'ban'zhui'sheng'wu 二尖瓣赘生物
'er'jian'bian'xia'zhai'ban'fang'jian'ge'que'sun 二尖辨狭窄伴房间隔缺损
'er'jie'di'zu'zhi'e'xing'zhong'liu 耳结缔组织恶性肿瘤
'er'jie'di'zu'zhi'jiao'jie'xing'zhong'liu 耳结缔组织交界性肿瘤
'er'jie'he 耳结核
'er'kuo'ban'hen 耳廓瘢痕
'er'kuo'cuo'shang 耳廓挫伤
'er'kuo'dong'chuang 耳廓冻疮
'er'kuo'e'xing'hei'se'su'liu 耳廓恶性黑色素瘤
'er'kuo'e'xing'zhong'liu 耳廓恶性肿瘤
'er'kuo'gan'ran 耳廓感染
'er'kuo'ji'xing'ban'ting'li'sun'hai 耳廓畸形伴听力损害
'er'kuo'jia'xing'nang'zhong 耳廓假性囊肿
'er'kuo'jie 耳廓疖
'er'kuo'kai'fang'xing'shang'kou 耳廓开放性伤口
'er'kuo'kai'fang'xing'sun'shang'ban'gan'ran 耳廓开放性损伤伴感染
'er'kuo'liang'xing'zhong'liu 耳廓良性肿瘤
'er'kuo'lou 耳廓瘘
'er'kuo'lou'gan'ran 耳廓瘘感染
'er'kuo'nang'zhong 耳廓囊肿
'er'kuo'nong'zhong 耳廓脓肿
'er'kuo'rou'ya'zhong 耳廓肉芽肿
'er'kuo'ruan'gu'mo'yan 耳廓软骨膜炎
'er'kuo'ruan'zu'zhi'gan'ran 耳廓软组织感染
'er'kuo'sun'shang 耳廓损伤
'er'kuo'xian'tian'xing'ji'xing 耳廓先天性畸形
'er'kuo'xue'guan'shen'jing'xing'fan'ying 耳廓血管神经性反应
'er'kuo'xue'zhong 耳廓血肿
'er'kuo'zhe'die'mao'er 耳廓褶迭猫耳
'er'kuo'zhong'wu 耳廓肿物
'er'liu'hua'tan'de'du'xing'xiao'ying 二硫化碳的毒性效应
'er'liu'nong 耳流脓
'er'long 耳聋
'er'lv'jia'wan'de'du'xing'xiao'ying 二氯甲烷的毒性效应
'er'ming 耳鸣
'er'ming'er'long'xuan'yun'zong'he'zheng 耳鸣耳聋眩晕综合征
'er'nei'yi'wu 耳内异物
'er'nie'shen'jing'zong'he'zheng 耳颞神经综合征
'er'pi'fu'e'xing'zhong'liu 耳皮肤恶性肿瘤
'er'pi'fu'liang'xing'zhong'liu 耳皮肤良性肿瘤
'er'qi'mei'du 二期梅毒
'er'qi'mei'du'xing'gan'yan 二期梅毒性肝炎
'er'qi'mei'du'xing'gu'mo'yan 二期梅毒性骨膜炎
'er'qi'mei'du'xing'hong'mo'jie'zhuang'ti'yan 二期梅毒性虹膜睫状体炎
'er'qi'mei'du'xing'ji'yan 二期梅毒性肌炎
'er'qi'mei'du'xing'lin'ba'jie'bing 二期梅毒性淋巴结病
'er'qi'mei'du'xing'nao'mo'yan 二期梅毒性脑膜炎
'er'qi'mei'du'xing'yan'bing 二期梅毒性眼病
'er'qian'biao'sun'shang 耳浅表损伤
'er'qian'hou'lou'guan 耳前后瘘管
'er'qian'lou'guan'gan'ran 耳前瘘管感染
'er'qu'mei'bing'xiang'gang'er 耳曲霉病香港耳
'er'rou'ya'zhong 耳肉芽肿
'er'ru'tou'gu'gu'mo'xia'nong'zhong 耳乳头骨骨膜下脓肿
'er'ruan'gu'liang'xing'zhong'liu 耳软骨良性肿瘤
'er'shao'shang 耳烧伤
'er'shen'jing'tong 耳神经痛
'er'shi'zong'he'zheng 耳石综合征
'er'shu'chuan'dao'zu'zhi 二束传导阻滞
'er'shuang'xing'xiang'pin'xue 二双性相贫血
'er'shui'pao'pi'yan 耳水疱皮炎
'er'sun'shang 耳损伤
'er'tai'si'chan 二胎死产
'er'tong 耳痛
'er'tong'bi'dou'yan 儿童鼻窦炎
'er'tong'chang'gui'jian'kang'jian'cha 儿童常规健康检查
'er'tong'feng'shi 耳痛风石
'er'tong'ji'xing'xiao'nao'gong'ji'shi'tiao'zong'he'zheng 儿童急性小脑共济失调综合征
'er'tong'jian'hu'huo'fu'yang'de'su'song'cheng'xu'wen'ti 儿童监护或抚养的诉讼程序问题
'er'tong'nue'dai'xiao'ying 儿童虐待效应
'er'tong'pi'shen'jing'yan 儿童皮神经炎
'er'tong'qi'liang'xing'dian'xian'ban'zai'zhong'nie'bu'jian'bo'de'nao'dian'tu 儿童期良性癫痫伴在中颞部尖波的脑电图
'er'tong'qi'nao'wei'suo 儿童期脑萎缩
'er'tong'qi'xiao'chuan 儿童期哮喘
'er'tong'xing'jing'shen'fen'lie'zheng 儿童性精神分裂症
'er'tong'xun'su'sheng'zhang'shi'qi 儿童迅速生长时期
'er'tong'zhu'yuan'zheng 儿童住院症
'er'tou'ji'chang'tou'ji'rou'he'ji'jian'sun'shang 二头肌长头肌肉和肌腱损伤
'er'wai'feng'wo'zhi'yan 耳外蜂窝织炎
'er'wai'nang'zhong 耳外囊肿
'er'wo'er'ying'hua'zheng 耳蜗耳硬化症
'er'wo'zhi'ru'wu 耳蜗植入物
'er'ya'li'shang 耳压力伤
'er'yang'hua'liu'yi'wai'zhong'du 二氧化硫意外中毒
'er'yang'hua'tan'de'du'xing'xiao'ying 二氧化碳的毒性效应
'er'yi'mai'jiao'xian'an'yi'wai'zhong'du 二乙麦角酰胺意外中毒
'er'ying'hua'zheng 耳硬化症
'er'ying'hua'zheng'he'bing'luan'yuan'chuang'bi'se 耳硬化症合并卵圆窗闭塞
'er'ying'qu'bing 耳蝇蛆病
'er'yuan'wei'hei'se'su'liu 耳原位黑色素瘤
'er'yuan'xing'nao'ji'shui 耳源性脑积水
'er'yuan'xing'nao'mo'yan 耳源性脑膜炎
'er'yuan'xing'nao'nong'zhong 耳源性脑脓肿
'er'yuan'xing'nao'yan 耳源性脑炎
'er'yuan'xing'xuan'yun 耳源性眩晕
'fa'bo'bing'zong'he'zheng 法伯病综合征
'fa'bu'li'an'de'sen'bing 法布里安德森病
'fa'bu'pi'zhi'yi 发部皮脂溢
'fa'li 乏力
'fa'luo'fa'yue'si'lian'zheng'de'shi'jian'ge'que'sun 法洛法乐四联症的室间隔缺损
'fa'luo'fa'yue'wu'lian'zheng 法洛法乐五联症
'fa'luo'shi'san'lian'zheng 法洛氏三联症
'fa'mei'gan'cao'bing 发霉干草病
'fa'qi'ao'long'de 法齐奥隆德
'fa're'ban'you'han'zhan 发热伴有寒战
'fa're'ban'you'qiang'zhi 发热伴有强直
'fa're'bu'ming'yuan'yin 发热不明原因
'fa'se'yi'chang 发色异常
'fa'sheng'he'duo'zhong'yun'dong'lian'he'chou'dong'zhang'ai 发声和多种运动联合抽动障碍
'fa'sheng'yu'cao'zuo'zhong'huo'cao'zuo'hou'de'que'yang'xing'nao'sun'hai 发生于操作中或操作后的缺氧性脑损害
'fa'te'hu'fu'ji'fa'xing'e'xing'zhong'liu 法特壶腹继发性恶性肿瘤
'fa'te'hu'fu'jing'luan 法特壶腹痉挛
'fa'te'hu'fu'yuan'wei'ai 法特壶腹原位癌
'fa'te'shi'hu'fu'e'xing'zhong'liu 法特氏壶腹恶性肿瘤
'fa'te'shi'hu'fu'jie'shi 法特氏壶腹结石
'fa'te'shi'hu'fu'liang'xing'zhong'liu 法特氏壶腹良性肿瘤
'fa'xian'shi'yi'si'wang 发现时已死亡
'fa'ya'ma'ling'shu'shan'yao'dan'yang'shan'yu'shi'wu'zhong'du 发芽马铃薯山药蛋洋山芋食物中毒
'fa'yin'bu'qing 发音不清
'fa'yin'kun'nan 发音困难
'fa'yin'yi'chang 发音异常
'fa'yu'chi'huan 发育迟缓
'fa'yu'xing'biao'da'xing'shu'xie'zhang'ai 发育性表达性书写障碍
'fa'yu'xing'ge'si'te'man'zong'he'zheng 发育性格斯特曼综合征
'fa'yu'xing'gong'ji'zhang'ai 发育性共济障碍
'fa'yu'xing'ji'suan'bu'neng 发育性计算不能
'fa'yu'xing'luan'chao'nang'zhong 发育性卵巢囊肿
'fa'yu'xing'shi'ren'zheng 发育性失认症
'fa'yu'xing'shi'yu 发育性失语
'fa'yu'xing'song'du'kun'nan 发育性诵读困难
'fa'yu'xing'yu'yin'xue'zhang'ai 发育性语音学障碍
'fa'yu'xing'yun'dong'bu'liang 发育性运动不良
'fa'yu'yi'chang'xing'dan'ce'kuan'guan'jie'bing 发育异常性单侧髋关节病
'fa'yu'yi'chang'yin'qi'de'shuang'ce'kuan'guan'jie'bing 发育异常引起的双侧髋关节病
'fa'yu'zhang'ai 发育障碍
'fa'zuo'xing'ji'zhen'luan 发作性肌阵挛
'fa'zuo'xing'jin'zhang'xing'tou'tong 发作性紧张性头痛
'fa'zuo'xing'shui'mian 发作性睡眠
'fa'zuo'xing'xuan'yun 发作性眩晕
'fan'bo'gai'er'te'nao'bai'zhi'bing 范博盖尔特脑白质病
'fan'bo'gai'er'te'xie'le'ai'po'si'tan'bing'huo'zong'he'zheng 范博盖尔特谢勒爱泼斯坦病或综合征
'fan'chu'xing'shen'jing'guan'neng'zheng 反刍性神经官能症
'fan'de'wo'de'zong'he'zheng 范德沃德综合征
'fan'fa'xing'shen'jing'xing'pi'yan 泛发性神经性皮炎
'fan'fu'xin'lv'ni'jie'lv 反复心律逆节律
'fan'jia'ao'jia 反甲凹甲
'fan'kang'ni'shi'zong'he'zheng'de'tuo'ni'de'bo'lei 范康尼氏综合征德托尼德勃雷
'fan'ke 烦渴
'fan'ke'ni'pin'xue 范科尼贫血
'fan'kui'xing'chui'ti'liu'zong'he'zheng 反馈性垂体瘤综合征
'fan'liu'xing'dan'guan'yan 返流性胆管炎
'fan'liu'xing'niao'shi'jin 反流性尿失禁
'fan'liu'xing'shi'guan'yan 反流性食管炎
'fan'liu'xing'wei'yan 反流性胃炎
'fan'nao 烦恼
'fan'que'fa 钒缺乏
'fan'shang'fen'sen'shi'kou'yan 樊尚奋森氏口炎
'fan'shang'mo'xing'yan'xia'yan 樊尚膜性咽峡炎
'fan'shang'yin'yan 樊尚龈炎
'fan'she'xing'dian'xian 反射性癫痫
'fan'she'xing'ge'jing'luan 反射性膈痉挛
'fan'she'xing'shen'jing'bing'xing'pang'guang 反射性神经病性膀胱
'fan'she'yi'chang 反射异常
'fan'suan'que'fa 泛酸缺乏
'fan'tu'fei'fei'de 矾土肺肺的
'fan'xiang'xing'qing'guang'yan 反象型青光眼
'fan'yao'he 反咬合
'fan'ying'xing'chuan'kong'xing'jiao'yuan'bing 反应性穿孔性胶原病
'fan'ying'xing'di'xue'tang'zheng'can'hou'di'xue'tang'zheng 反应性低血糖症餐后低血糖症
'fan'ying'xing'guan'jie'bing 反应性关节病
