'a'ba'du'lu'zhe'na 阿跋度路柘那
'ji'yin'zun'zhe 寂音尊者
'ji'ying 机应
'ji'yong 寂用
'ji'yong 机用
'ji'yong'zhan'ran 寂用湛然
'ji'you'ji'kong 即有即空
'ji'you'luo 吉由罗
'ji'yu 偈语
'ji'yu 机语
'ji'yuan 机缘
'ji'yuan 鸡园
'ji'yuan'ji 济缘记
'ji'yuan'si 鸡园寺
'ji'yue 忌月
'ji'zai'zhen'yan 寂灾真言
'ji'zan 偈赞
'ji'zhao 寂照
'ji'zhao'hui 寂照慧
'ji'zhao'shen'bian'jing 寂照神变经
'ji'zhao'shen'bian'san'mo'di'jing 寂照神变三摩地经
'ji'zhe 吉遮
'ji'zhe 系着
'ji'zhe 计着
'ji'zheng 己证
'ji'zheng 极证
'ji'zhi 极致
'ji'zhi 集智
'ji'zhi'guo'jing 寂志果经
'ji'zhong 即中
'ji'zhong 寂种
'ji'zhong 忌中
'ji'zhong 继忠
'ji'zhong'zhong 集众钟
'ji'zhu 髻珠
'ji'zhu'fang'deng'xue'jing 济诸方等学经
'ji'zhu'jing 髻珠经
'ji'zu'dong 鸡足洞
'ji'zu'shan 鸡足山
'ji'zu'shou'yi 鸡足守衣
'ji'zun 极尊
'jia'an 伽闇
'jia'bang'bo'di 伽傍簸帝
'jia'bei 伽惫
'jia'bei 加备
'jia'bei 加被
'jia'bi'luo 迦比罗
'jia'bi'luo'ba'chou 迦比罗跋臭
'jia'bi'luo'po'su'dou 迦比罗皤窣都
'jia'bi'luo'po'xiu'dou 迦比罗婆修斗
'jia'bi'shi 迦毕试
'jia'bin'she'luo 迦宾阇罗
'jia'bin'tu 迦宾菟
'jia'bu'da 迦逋大
'jia'bu'de'jia 迦布德迦
'jia'bu'de'jia'qie'lan 迦布德迦伽蓝
'jia'cai 迦才
'jia'cha 甲剎
'jia'chang 家常
'jia'che'ru'shi'zi'xiang 颊车如师子相
'jia'che'ti 伽车提
'jia'chi 加持
'jia'chi'cheng'fo 加持成佛
'jia'chi'gong'wu 加持供物
'jia'chi'men'shuo 加持门说
'jia'chi'na 迦絺那
'jia'chi'na'jing 迦絺那经
'jia'chi'na'yue 迦絺那月
'jia'chi'nian'song 加持念诵
'jia'chi'shen 加持身
'jia'chi'shi'jie 加持世界
'jia'chi'xiang'shui 加持香水
'jia'chi'zha 加持札
'jia'chi'zhang 加持杖
'jia'chi'zi'shen'fa 加持自身法
'jia'deng'liu 假等流
'jia'di 假谛
'jia'die'zuo 跏跌坐
'jia'ding'bi'qiu 迦丁比丘
'jia'ding'bi'qiu'shuo'dang'lai'bian'jing 迦丁比丘说当来变经
'jia'duo 迦多
'jia'duo'yan'na 迦多衍那
'jia'duo'yan'ni'zi 迦多衍尼子
'jia'fa 假法
'jia'fan 伽梵
'jia'fan'bo'ti 伽梵波提
'jia'fan'da'mo 伽梵达摩
'jia'fan'da'mo 迦梵达摩
'jia'fu 跏趺
'jia'gong 加供
'jia'gou 家狗
'jia'guan 假观
'jia'hang 加行
'jia'hang'da'shi 加行大士
'jia'hang'de 加行得
'jia'hang'guo 加行果
'jia'hang'jie'yuan 加行结愿
'jia'hang'wei 加行位
'jia'he 假合
'jia'he'he 假和合
'jia'he'zhi'shen 假合之身
'jia'hu 加护
'jia'hui 嘉会
'jia'hui'tan'man'tuo'luo 嘉会坛曼陀罗
'jia'ji 嘉集
'jia'jia 家家
'jia'jia 迦迦
'jia'jia'jia 迦迦迦
'jia'jia'lou'duo 迦迦娄多
'jia'jia'luo 迦迦罗
'jia'jia'luo'chong 迦迦罗虫
'jia'jia'na 迦迦那
'jia'jia'na'bei'li'cha'ni 伽伽那卑丽叉尼
'jia'jia'na'bi'li'qi'na 伽伽那必利绮那
'jia'jia'po'jia'pin'she'luo 迦迦婆迦频阇逻
'jia'jia'sheng'zhe 家家圣者
'jia'jiao 家教
'jia'jiu'shi 迦鸠驶
'jia'ju 加句
'jia'ju'jia 迦拘伽
'jia'ju'po 迦拘婆
'jia'la'di'jia 迦剌底迦
'jia'lan 迦蓝
'jia'lan'duo'jia 迦兰多迦
'jia'lan'fu 迦蓝浮
'jia'lan'jia 加兰伽
'jia'lan'na'fu'luo 迦兰那富罗
'jia'lan'pin'jia 迦兰频伽
'jia'lan'ta 伽兰他
'jia'lan'tuo 迦兰陀
'jia'lan'tuo'cun 迦兰陀村
'jia'lan'tuo'yi 迦兰陀夷
'jia'lan'tuo'zhang'zhe 迦兰陀长者
'jia'lan'tuo'zhu'lin 迦兰陀竹林
'jia'lao 迦老
'jia'li 伽梨
'jia'li 加力
'jia'li 迦利
'jia'li'di'jia 迦利底迦
'jia'li'di'jia'me'xi 迦哩底迦么洗
'jia'li'jia 迦哩迦
'jia'li'jia 迦梨迦
'jia'li'sa'na 迦利萨那
'jia'li'sha 迦利沙
'jia'li'sha'ban'na 迦利沙般拏
'jia'li'sha'bo'na 迦利沙波拏
'jia'li'sha'bo'na 迦利沙钵拏
'jia'li'sha'po'na 迦利沙婆那
'jia'li'sha'she'ni 迦梨沙舍尼
'jia'li'ye'na 迦梨耶那
'jia'liang'na'jia'li 迦良那伽梨
'jia'lin 伽邻
'jia'lin'ti 迦邻提
'jia'lin'tuo 迦邻陀
'jia'lin'tuo'yi 迦邻陀衣
'jia'ling 迦陵
'jia'ling'jia 迦陵伽
'jia'ling'jia 迦陵迦
'jia'ling'jia'lin 迦陵迦林
'jia'ling'jia'wang 迦陵伽王
'jia'ling'jia'yi 迦陵伽衣
'jia'ling'pi'jia 迦陵毘伽
'jia'ling'pin 迦陵频
'jia'ling'pin'jia 迦陵频伽
'jia'ling'pin'wu 迦陵频舞
'jia'liu'bo'tuo 迦留波陀
'jia'liu'tuo'jia 迦留陀伽
'jia'liu'tuo'yi 迦留陀夷
'jia'liu'tuo'yi'jiao'hua 迦留陀夷教化
'jia'liu'tuo'yi'si'fen'zhong 迦留陀夷死粪中
'jia'lou 迦楼
'jia'lou'luo 伽楼罗
'jia'lou'luo 迦楼罗
'jia'lou'luo'fa 迦楼罗法
'jia'lou'luo'guan 迦楼罗观
'jia'lou'luo'yan 迦楼罗炎
'jia'lou'na 迦楼那
'jia'lou'tu 迦喽荼
'jia'lou'wu'tuo'yi 迦楼乌陀夷
'jia'lou'wu'tuo'yi'jing 迦楼乌陀夷经
'jia'lou'yan 迦楼炎
'jia'lu'ni 迦嚧尼
'jia'luo 伽罗
'jia'luo 迦罗
'jia'luo'a'yu 迦罗阿育
'jia'luo'bi'qiu 迦罗比丘
'jia'luo'bo'she'luo'bo 迦罗钵舍罗钵
'jia'luo'fei'luo 迦啰吠罗
'jia'luo'fen 迦罗分
'jia'luo'fu 迦罗富
'jia'luo'jia 迦罗迦
'jia'luo'jia 迦逻迦
'jia'luo'jia'long 迦罗迦龙
'jia'luo'jia'shu 迦罗迦树
'jia'luo'jia'zha 迦罗迦咤
'jia'luo'jiu'cun'da 迦罗鸠村大
'jia'luo'le 迦罗勒
'jia'luo'long 迦罗龙
'jia'luo'luo 迦罗逻
'jia'luo'luo'di'li 迦罗啰底哩
'jia'luo'na 迦罗那
'jia'luo'ning 迦啰儜
'jia'luo'pi'jia 迦罗毘迦
'jia'luo'pi'luo 迦罗毘啰
'jia'luo'pin'jia 迦罗频伽
'jia'luo'qiu'luo 迦罗求罗
'jia'luo'sha'ye 迦罗沙曳
'jia'luo'shu 伽罗树
'jia'luo'tuo 伽罗陀
'jia'luo'tuo 迦罗陀
'jia'luo'ye'cha 伽罗夜叉
'jia'luo'yi 迦啰伊
'jia'luo'yu 迦罗育
'jia'luo'yue 迦罗越
'jia'luo'zhe'mo 迦罗者摩
'jia'luo'zhen'tou 迦罗镇头
'jia'ma 甲马
'jia'men 假门
'jia'mi'ni 伽弥尼
'jia'mi'ni'jing 伽弥尼经
'jia'ming 假名
'jia'ming'pu'sa 假名菩萨
'jia'ming'shi'jian 假名世间
'jia'ming'you 假名有
'jia'ming'zong 假名宗
'jia'mo 迦摩
'jia'mo'lang'jia 迦摩浪迦
'jia'mo'luo 迦摩罗
'jia'mo'luo 迦末罗
'jia'mo'lv'bo 迦摩缕波
'jia'mo'sha'bo'tuo 迦摩沙波陀
'jia'na 伽那
'jia'na'ba'di 迦那跋底
'jia'na'fu'li'ren 伽那馥力刃
'jia'na'jia'mou'ni 迦那伽牟尼
'jia'na'na'ba'duo'shu 伽那那跋多书
'jia'na'na'jia'ni'duo 伽那那伽尼多
'jia'na'ti'po 伽那提婆
'jia'na'ti'po 迦那提婆
'jia'ni 伽尼
'jia'ni'jia 迦尼迦
'jia'ni'se'jia 迦腻色伽
'jia'ni'se'jia'wang'jie'ji'san'zang 迦腻色迦王结集三藏
'jia'nuo'jia'ba'li'duo'she 迦诺迦跋厘惰阇
'jia'nuo'jia'fa'cuo 迦诺迦伐蹉
'jia'pi'jia 迦毘伽
'jia'pi'jia'luo 迦毘伽罗
'jia'pi'li 迦毘梨
'jia'pi'luo 伽毘罗
'jia'pi'luo 迦毘罗
'jia'pi'luo'po 迦毘罗婆
'jia'pi'luo'po'su'dou 迦毘罗婆苏都
'jia'pi'luo'po'su'dou 迦毘罗皤窣都
'jia'pi'luo'po'xian'ren'lin 迦毘罗婆仙人林
'jia'pi'luo'shen 迦毘罗神
'jia'pi'luo'wei 迦毘罗卫
'jia'pi'mo'luo 迦毘摩罗
'jia'pin'she'luo 迦频阇罗
'jia'po'he'luo 伽破诃罗
'jia'po'li 迦婆离
'jia'po'li'jia 迦婆离迦
'jia'ruo'ye 伽若耶
'jia'sa'tu'luo 迦萨吐罗
'jia'se 假色
'jia'sha 加沙
'jia'sha 袈裟
'jia'sha'bian'bai 袈裟变白
'jia'sha'dai 袈裟袋
'jia'sha'shi'er'ming 袈裟十二名
'jia'sha'shi'li 袈裟十利
'jia'sha'wei 袈裟味
'jia'sha'wu'de 袈裟五德
'jia'sha'ye 加沙野
'jia'sha'yi 袈裟衣
'jia'sha'zhao'fa 袈裟着法
'jia'shan 夹山
'jia'shang 嘉尚
'jia'she 迦阇
'jia'she'bu'luo 迦奢布罗
'jia'shi 假实
'jia'shi 假时
'jia'shi 加尸
'jia'shi 迦尸
'jia'shi 迦师
'jia'shi'jia 迦尸迦
'jia'shi'mi'luo 迦湿弥罗
'jia'shi'mi'luo'cheng'jie'ji 迦湿弥罗城结集
'jia'shi'mi'luo'guo'long'chi 迦湿弥罗国龙池
'jia'shi'na'a'lan'mo'na 迦师那阿揽摩那
'jia'suan 迦算
'jia'sui'luo'wei 迦随罗卫
'jia'suo'yuan 枷锁愿
'jia'ta 伽他
'jia'tan'bo 迦昙波
'jia'tan'po 迦昙婆
'jia'ti 迦提
'jia'tuo 伽陀
'jia'wei 迦维
'jia'wei'luo 迦尾罗
'jia'wei'luo'wei 迦维罗卫
'jia'wei'luo'yue 迦维罗越
'jia'wei'luo'yue 迦维罗阅
'jia'wei'wei 迦维卫
'jia'wo 假我
'jia'xiang 嘉祥
'jia'xiang'si 嘉祥寺
'jia'xie 伽邪
'jia'xing'dao 加行道
'jia'xing'shan 加行善
'jia'xun 家训
'jia'ye 伽耶
'jia'ye 迦叶
'jia'ye 迦耶
'jia'ye'bao'zhe'na 迦耶褒折娜
'jia'ye'ben'jing 迦叶本经
'jia'ye'bo 迦叶波
'jia'ye'cha'gan 迦叶剎竿
'jia'ye'cheng 伽耶城
'jia'ye'chuan'yi 迦叶传衣
'jia'ye'chuan'yi'mi'le 迦叶传衣弥勒
'jia'ye'fo 迦叶佛
'jia'ye'fu'fo'ban'nie'pan'jing 迦叶赴佛般涅盘经
'jia'ye'jia'ye 伽耶迦叶
'jia'ye'jie'ji'fa'zang 迦叶结集法藏
'jia'ye'jie'ji'san'zang 迦叶结集三藏
'jia'ye'jie'jing 迦叶结经
'jia'ye'jin'jie'jing 迦叶禁戒经
'jia'ye'li'shi 迦叶利师
'jia'ye'mi'luo 迦叶弥罗
'jia'ye'mo'teng 迦叶摩腾
'jia'ye'pi 迦叶毘
'jia'ye'po'yan'wei'xiao 迦叶破颜微笑
'jia'ye'pu'sa'pin 迦叶菩萨品
'jia'ye'qi'wu 迦叶起舞
'jia'ye'qing'quan 迦叶擎拳
'jia'ye'ru'ding 迦叶入定
'jia'ye'shan 伽耶山
'jia'ye'shan'ding'jing 伽耶山顶经
'jia'ye'shan'ding'jing'lun 伽耶山顶经论
'jia'ye'she'jin'se'qi 迦叶舍金色妻
'jia'ye'shou'ji 迦叶受记
'jia'ye'tou'tuo'di'yi 迦叶头陀第一
'jia'ye'wu 迦叶舞
'jia'ye'xian'ren'shuo'yi'nv'ren'jing 迦叶仙人说医女人经
'jia'ye'yi 迦叶遗
'jia'ye'yi'shi'wan'liang 迦叶衣十万两
'jia'ye'zun'zhe 迦叶尊者
'jia'yi 家依
'jia'yi 迦夷
'jia'yi'luo 迦夷罗
'jia'yi'po'dou 迦夷婆兜
'jia'you 假有
'jia'you 加佑
'jia'zha'fu'dan'na 迦咤富单那
'jia'zha'mou'ni 迦咤牟尼
'jia'zhan 迦旃
'jia'zhan'lin'ti 迦旃邻提
'jia'zhan'lin'tuo 迦旃邻陀
'jia'zhan'yan 迦旃延
'jia'zhan'yan'a'pi'tan 迦旃延阿毘昙
'jia'zhan'yan'jiao'hua 迦旃延教化
'jia'zhan'yan'jing 迦旃延经
'jia'zhan'yan'lun'yi'di'yi 迦旃延论议第一
'jia'zhan'yan'ni'zi 迦旃延尼子
'jia'zhan'yan'shuo'fa'mei'jin'ji'jing 迦旃延说法没尽偈经
'jia'zhan'yan'zhu'zuo 迦旃延著作
'jia'zhan'yan'zi 迦旃延子
'jia'zhan'zi 迦旃子
'jia'zhe 迦柘
'jia'zhe'lin'di 迦遮邻地
'jia'zhe'lin'di'jia 迦遮邻底迦
'jia'zhe'lin'di'yi 迦遮邻地衣
'jia'zhe'mo'ni 迦遮末尼
'jia'zhen 家珍
'jia'zhen'lin'di'jia 迦真邻底迦
'jia'zhen'lin'tuo 迦真邻陀
'jia'zhi 伽胝
'jia'zhi 迦枳
'jia'zhi'li'na 迦止栗那
'jia'zhong 迦种
'jia'zhou'yan'yin'ming 甲冑严印明
'jia'zhou'yin 甲冑印
'jia'zuo 跏坐
'jian'ai 见爱
'jian'bao'liu 见暴流
'jian'bei'yi'qie'zhi'de'jing 渐备一切智德经
'jian'bie 简别
'jian'bo 剑波
'jian'bu'nan 犍不男
'jian'cheng'gong'an 见成公案
'jian'chu 见处
'jian'chu'si 建初寺
'jian'ci 肩次
'jian'ci'guan 渐次观
'jian'ci'jiao'shou 渐次教授
'jian'ci'zhi'guan 渐次止观
'jian'cuo'tian 间错天
'jian'da 见大
'jian'da'fu 健达缚
'jian'dan'dui'dai 兼但对带
'jian'dao 箭道
'jian'dao 见道
'jian'dao'chang'shu'yuan 见道场树愿
'jian'dao'shi'yi 见道释义
'jian'dao'suo'duan 见道所断
'jian'de 犍德
'jian'de 见得
'jian'di 犍地
'jian'di 犍坻
'jian'di 见地
'jian'di 见谛
'jian'di'a'she'li 见谛阿阇梨
'jian'di'de 见谛得
'jian'dian 煎点
'jian'dian'dao 见颠倒
'jian'dou'bo'la'di'che'dan'na 建豆钵喇底车惮娜
'jian'du 健杜
'jian'du 犍度
'jian'du 见毒
'jian'duan 渐断
'jian'duan 间断
'jian'dun'jiao 渐顿教
'jian'e 见轭
'jian'fa 坚法
'jian'fa 见法
'jian'fan'nao 见烦恼
'jian'fei'jian 见非见
'jian'fen 见分
'jian'fen'xun 见分熏
'jian'fo 见佛
'jian'fo'wen'fa'yue 见佛闻法乐
'jian'fo'zhen'shen 见佛真身
'jian'fu 见缚
'jian'ge 间隔
'jian'gu 坚固
'jian'gu'de'shen 坚固地神
'jian'gu'fa'shen 坚固法身
'jian'gu'hui 坚固惠
'jian'gu'jing 坚固经
'jian'gu'lin 坚固林
'jian'gu'nv 坚固女
'jian'gu'nv'jing 坚固女经
'jian'gu'pu'sa 坚固菩萨
'jian'gu'san'mei 坚固三昧
'jian'gu'yi 坚固意
'jian'gu'zhang'zhe 坚固长者
'jian'guo'xin'luo 箭过新罗
'jian'huang'men 犍黄门
'jian'hui 坚慧
'jian'hui 见慧
'jian'huo 见惑
'jian'huo'pin'shu 见惑品数
'jian'ji 见迹
'jian'jian'du 见犍度
'jian'jiao 捡挍
'jian'jiao 检校
'jian'jiao 渐教
'jian'jie 减劫
'jian'jie 见结
'jian'lao 坚牢
'jian'lao'de'qi 坚牢地祇
'jian'lao'de'shen 坚牢地神
'jian'lao'de'tian 坚牢地天
'jian'lao'de'tian'yi'gui 坚牢地天仪轨
'jian'li 兼利
'jian'li 建立
'jian'li'bang 建立谤
'jian'li'gui 建立轨
'jian'li'jia 建立假
'jian'li'man'tu'luo'hu'mo'yi'gui 建立曼荼罗护摩仪轨
'jian'li'man'tu'luo'ji'jian'ze'di'fa 建立曼荼罗及拣择地法
'jian'lin 坚林
'jian'lin'di'yu 剑林地狱
'jian'liu 见流
'jian'lun 见论
'jian'lun'fa 剑轮法
'jian'mo'bian'yi'lu 拣魔辨异录
'jian'mo'bo'mo 犍摩波摩
'jian'mo'she'di 剑摩舍帝
'jian'na'biao'he 健拏骠诃
'jian'na'pu 蹇拏仆
'jian'nan 健南
'jian'nan 键南
'jian'ni'tuo 蹇尼陀
'jian'niu 见牛
'jian'qi 简器
'jian'qu 见取
'jian'qu'jian 见取见
'jian'qu'shi 见取使
'jian'se 间色
'jian'se'fu 间色服
'jian'shan 剑山
'jian'sheng 建声
'jian'sheng'fa'jie'zuo 坚胜法界座
'jian'shi 拣师
'jian'shi'shi'zi 坚誓师子
'jian'shi'xin 坚实心
'jian'shi'xin'he'zhang 坚实心合掌
'jian'shou 监收
'jian'shu 渐书
'jian'shu'di'yu 剑树地狱
'jian'si 监寺
'jian'si 见思
'jian'suo'duan 见所断
'jian'ta 犍沓
'jian'tu 蹇荼
'jian'tuo 健陀
'jian'tuo 犍陀
'jian'tuo'an'luo 犍陀庵罗
'jian'tuo'da'duo 蹇陀达多
'jian'tuo'ge 建佗歌
'jian'tuo'gu'zi'jia'sha 健陀谷子袈裟
'jian'tuo'guo'wang'jing 健陀国王经
'jian'tuo'he 犍陀诃
'jian'tuo'ju'zhi 健陀俱知
'jian'tuo'li 健驮梨
'jian'tuo'lou 犍陀楼
'jian'tuo'luo 健驮罗
'jian'tuo'luo 犍陀罗
'jian'tuo'mo'he'yan 犍陀摩诃衍
'jian'tuo'mo'tuo'mo'luo 健陀摩陀摩罗
'jian'wang 见网
'jian'wang'fan 荐亡旛
'jian'wang'jing 谏王经
'jian'wang'po'lun 肩亡婆论
'jian'wang'zhai 见王斋
'jian'wen 见闻
'jian'wen'cheng'fo 见闻成佛
'jian'wen'jue'zhi 见闻觉知
'jian'wen'sheng 见闻生
'jian'wen'yi 见闻疑
'jian'wu 渐悟
'jian'xiang 见相
'jian'xie 渐写
'jian'xin'zheng'yi'jing 坚心正意经
'jian'xing 见性
'jian'xing 见行
'jian'xing'cheng'fo 见性成佛
'jian'xing'liu'du'pin 兼行六度品
'jian'xiu 见修
'jian'xue'bing 间穴饼
'jian'yan 简言
'jian'yan'wang 见阎王
'jian'yi 坚意
'jian'yi'jing 坚意经
'jian'yin 剑印
'jian'yong'zuo 健勇坐
'jian'yu 拣语
'jian'yu'jing 箭喻经
'jian'yuan 监院
'jian'yuan 见缘
'jian'yuan'jian'xing 减缘减行
'jian'zai'fo 见在佛
'jian'zhai'shi'zhe 监斋使者
'jian'zhan 建盏
'jian'zhang 见障
'jian'zhao 建爪
'jian'zhe 见者
'jian'zhen 见真
'jian'zhen 鉴真
'jian'zheng 见正
'jian'zheng 见诤
'jian'zheng'jing 见正经
'jian'zhi 坚智
'jian'zhi 犍稚
'jian'zhi 犍陟
'jian'zhi 见至
'jian'zhi'bu'luo 建志补罗
'jian'zhi'ma 犍陟马
'jian'zhi'shen 见智身
'jian'zhu'fo'tu'yuan 见诸佛土愿
'jian'zhui 犍椎
'jian'zhuo 见浊
'jian'zi 键镃
'jian'zuo 坚座
'jiang'bo'wang'he 降钵王何
'jiang'chen 讲嚫
'jiang'dan 降诞
'jiang'gong 讲供
'jiang'hu 江湖
'jiang'hu'hui 江湖会
'jiang'hu'ji 江湖集
'jiang'hu'liao 江湖寮
'jiang'jia'he'sha 弶伽河沙
'jiang'jia'ye 江迦叶
'jiang'jie'luo 姜羯罗
'jiang'jing 讲经
'jiang'liang'lou'zhi 疆梁娄至
'jiang'lin 降临
'jiang'san'shi'cheng'jiu'ji'shen'mi'men 降三世成就极深密门
'jiang'san'shi'fen'nu'chi'ming'wang'zun 降三世忿怒持明王尊
'jiang'san'shi'jie'mo'hui 降三世羯磨会
'jiang'san'shi'ming'wang 降三世明王
'jiang'san'shi'san'mei'ye'hui 降三世三昧耶会
'jiang'san'shi'yi'gui 降三世仪轨
'jiang'san'shi'yu'da'ri'ru'lai 降三世与大日如来
'jiang'san'shi'yu'shi'jia'ru'lai 降三世与释迦如来
'jiang'san'shi'zhen'yan 降三世真言
'jiang'san'shi'zhong'zi 降三世种子
'jiang'san'shi'zun'xing 降三世尊形
'jiang'shen 降神
'jiang'sheng 降生
'jiang'shi 讲师
'jiang'shi 讲式
'jiang'shi 降世
'jiang'shi'du'shi'gao'zuo 讲师读师高座
'jiang'shuo 讲说
'jiang'suo'luo 僵娑洛
'jiang'tai 降胎
'jiang'tang 讲堂
'jiang'tian'si 江天寺
'jiang'xi 江西
'jiang'xia'zhong 讲下钟
'jiang'yan 讲演
'jiang'yan 讲筵
'jiang'yan'mo'zun 降焰魔尊
'jiang'yan'mo'zun'hua'xiang 降焰魔尊画像
'jiang'yan'mo'zun'xiu'fa 降阎摩尊修法
'jiang'zan 讲赞
'jiang'zhong 讲众
'jiang'zong 讲宗
'jiang'zuo 讲座
'jiao'ban 脚板
'jiao'bing 脚絣
'jiao'bu 脚布
'jiao'chan 教禅
'jiao'chen'na 憍陈那
'jiao'chen'ru 憍陈如
'jiao'cheng 交承
'jiao'cheng'fa'shu 教乘法数
'jiao'chi 教敕
'jiao'dao 教导
'jiao'dao 教道
'jiao'di 教谛
'jiao'dian 交点
'jiao'dian 教典
'jiao'dou'he'luo 憍都褐罗
'jiao'fa 教法
'jiao'fan 憍梵
'jiao'fan'bo'ti 憍梵波提
'jiao'fan'bo'ti'chang'zai'tian'shang 憍梵波提常在天上
'jiao'fan'bo'ti'ru'shui'ding'nie'pan 憍梵波提入水定涅盘
'jiao'ge 交割
'jiao'gen'dian'di 脚跟点地
'jiao'guan 教观
'jiao'guan'er'men 教观二门
'jiao'guan'gang'zong 教观纲宗
'jiao'heng 教亨
'jiao'hua 教化
'jiao'hua'di 教化地
'jiao'hua'di'yi 教化地益
'jiao'hua'di'yu'jing 教化地狱经
'jiao'huan 叫唤
'jiao'huan'da'jiao'huan 叫唤大叫唤
'jiao'huan'di'yu 叫唤地狱
'jiao'hui 教会
'jiao'ji 教迹
'jiao'ji 浇季
'jiao'ji'yi 教迹义
'jiao'jie 教诫
'jiao'jie'lun 教诫轮
'jiao'jie'shen'bian 教诫神变
'jiao'jie'shi'dao 教诫示导
'jiao'jie'xin'xue'bi'qiu'xing'hu'lv'yi 教诫新学比丘行护律仪
'jiao'jing 教镜
'jiao'ju'tuo'jia'duo'yan'na 脚俱陀迦多演那
'jiao'ju'zhi 憍矩胝
'jiao'juan 教卷
'jiao'keng 憍坑
'jiao'la 嚼蜡
'jiao'la'po 憍拉婆
'jiao'le 觉了
'jiao'le'fa'xing 觉了法性
'jiao'li 教理
'jiao'li'xing'guo 教理行果
'jiao'liang'shou'ming'jing 较量寿命经
'jiao'liang'yi'qie'fo'cha'gong'de'jing 较量一切佛剎功德经
'jiao'ling 教令
'jiao'ling'lun 教令轮
'jiao'ling'lun'shen 教令轮身
'jiao'lu 交芦
'jiao'lu 交露
'jiao'man 憍慢
'jiao'man'bu'qing'fa'jie 憍慢不请法戒
'jiao'man'pi'shuo'jie 憍慢僻说戒
'jiao'men 教门
'jiao'ming 教命
'jiao'ming'zuo'ke 蟭螟作窠
'jiao'nei 教内
'jiao'pan 教判
'jiao'pen'zi 胶盆子
'jiao'qi 教起
'jiao're'da'jiao're 焦热大焦热
'jiao're'di'yu 焦热地狱
'jiao'ren'xin 教人信
'jiao'sa'luo 憍萨罗
'jiao'shan'mi 憍睒弥
'jiao'shang'mi 憍赏弥
'jiao'she'ye 憍奢耶
'jiao'shi 嚼食
'jiao'shi 憍尸
'jiao'shi 绞饰
'jiao'shi'jia 憍尸迦
'jiao'shou 教授
'jiao'shou'a'she'li 教授阿阇梨
'jiao'shou'he'shang 教授和上
'jiao'shou'shan'zhi'shi 教授善知识
'jiao'shou'shi 教授师
'jiao'si 教寺
'jiao'tan'mi 憍昙弥
'jiao'tan'mi'jing 教昙弥经
'jiao'tan'mi'shou'ji 憍昙弥授记
'jiao'tan'mi'yu'fo 憍昙弥育佛
'jiao'tang 交堂
'jiao'ti 教体
'jiao'wai 教外
'jiao'wai'bie'chuan 教外别传
'jiao'wang 教网
'jiao'wang'jing 教王经
'jiao'wei'shi 教唯识
'jiao'xi 教系
'jiao'xiang 教相
'jiao'xiang'men 教相门
'jiao'xiang'pan'shi 教相判释
'jiao'xiang'san'yi 教相三意
'jiao'xing 教兴
'jiao'xing 教行
'jiao'xing'li 教行理
'jiao'xing'xin'zheng 教行信证
'jiao'xing'zheng 教行证
'jiao'ya'bai'zhong 焦芽败种
'jiao'yi 教一
'jiao'yi 教义
'jiao'yi 教益
'jiao'yi 教衣
'jiao'yu 教于
'jiao'yu 教语
'jiao'yuan 教院
'jiao'zheng 教证
'jiao'zheng'ju'quan 教证俱权
'jiao'zheng'ju'shi 教证俱实
'jiao'zhu 教主
'jie'bei 劫贝
'jie'ben 戒本
'jie'ben'jing 戒本经
'jie'ben'shu 戒本疏
'jie'bi 劫比
'jie'bi'luo 劫比罗
'jie'bi'luo 劫毕罗
'jie'bi'luo'fa'su'du 劫比罗伐窣堵
'jie'bi'luo'guo 劫比罗国
'jie'bi'luo'tian 劫比罗天
'jie'bi'luo'xian 劫比罗仙
'jie'bi'luo'ye'cha 劫毕罗夜叉
'jie'bi'na 劫比拏
'jie'bi'na'wang 劫比拏王
'jie'bi'she'ye 劫比舍也
'jie'bi'ta 劫比他
'jie'bi'ta'guo 劫比他国
'jie'bi'ta'guo 劫比他果
'jie'bie'ming'tong 借别名通
'jie'bin'na 劫宾那
'jie'bin'na'bi'qiu 劫宾那比丘
'jie'bing 结病
'jie'bing'jia'luo 羯鞞迦罗
'jie'bo 劫拨
'jie'bo 劫簸
'jie'bo'bei 劫波杯
'jie'bo'jie'bo'ye'di 劫跛劫跛夜帝
'jie'bo'luo 劫波罗
'jie'bo'luo'mi 戒波罗蜜
'jie'bo'luo'mi'jiao'zhu 戒波罗蜜教主
'jie'bo'luo'tian 劫波罗天
'jie'bo'sa 劫波萨
'jie'bo'shu 劫波树
'jie'bo'si'jia 羯播死迦
'jie'bo'suo 劫波娑
'jie'bo'yu 劫波育
'jie'bu'ju'na 劫布咀那
'jie'bu'luo 劫布罗
'jie'bu'luo 羯布罗
'jie'cang 戒藏
'jie'cha 竭叉
'jie'chang 戒场
'jie'che'po 羯车婆
'jie'cheng 芥城
'jie'cheng'si'ju 戒乘四句
'jie'chi 戒尺
'jie'chi 界尺
'jie'chi'luo 羯耻罗
'jie'chi'na 羯絺那
'jie'chi'na 羯耻那
'jie'chu 劫初
'jie'chu'jin'ling 劫初金铃
'jie'da'gu 解打鼓
'jie'dai 接待
'jie'dao 戒刀
'jie'de 戒德
'jie'de'jing 戒德经
'jie'de'xiang'jing 戒德香经
'jie'di 揭底
'jie'di'luo 羯地罗
'jie'die 戒牒
'jie'ding 戒定
'jie'ding'hui 戒定慧
