'a'ji'mi'de'luo'xian 阿基米德螺线
'zong'ti 总体
'zong'xiang'chong'he'du 纵向重合度
'zong'xiang'zhen'dong 纵向振动
'zong'xiang'zuo'yong'hu 纵向作用弧
'zong'xiang'zuo'yong'jiao 纵向作用角
'zong'zhi'dong'ju'li 总制动距离
'zong'zhi'dong'shi'jian 总制动时间
'zong'zhong'he'du 总重合度
'zong'zuo'yong'hu 总作用弧
'zong'zuo'yong'jiao 总作用角
'zu'cheng'xi'tong'dan'yuan'shu'wei 组成系统单元数为
'zu'feng 阻封
'zu'feng'liu'ti 阻封流体
'zu'he'an'zhuang 组合安装
'zu'he'die'huang'zi'you'gao'du 组合碟簧自由高度
'zu'he'die'xing'tan'huang 组合碟形弹簧
'zu'he'huo'chi 组合活齿
'zu'he'shi'xiang'jiao'tan'huang 组合式橡胶弹簧
'zu'he'tan'huang 组合弹簧
'zu'he'xing'xing'chi'lun'xi 组合行星齿轮系
'zu'he'yun'dong'gui'ji 组合运动轨迹
'zu'liu'ban 阻流板
'zu'ni 阻尼
'zu'pei'zhou'cheng 组配轴承
'zui'da'bian'xing 最大变形
'zui'da'bian'xing'liang'xi'shu 最大变形量系数
'zui'da'guo'ying 最大过盈
'zui'da'ji'xian'chi'cun 最大极限尺寸
'zui'da'jian'xi 最大间隙
'zui'da'nie'ru'shen'du 最大啮入深度
'zui'da'shi'ti'chi'cun 最大实体尺寸
'zui'da'shi'ti'zhuang'tai 最大实体状态
'zui'da'wei'yi 最大位移
'zui'da'ying'bian 最大应变
'zui'da'ying'li 最大应力
'zui'da'ying'li'qiang'du'yin'zi 最大应力强度因子
'zui'gao'xiao'lv 最高效率
'zui'xiao'guo'ying 最小过盈
'zui'xiao'ji'xian'chi'cun 最小极限尺寸
'zui'xiao'jian'xi 最小间隙
'zui'xiao'lun'kuan 最小轮宽
'zui'xiao'qi'mo'hou'du 最小气膜厚度
'zui'xiao'shi'ti'chi'cun 最小实体尺寸
'zui'xiao'shi'ti'zhuang'tai 最小实体状态
'zui'xiao'ying'bian 最小应变
'zui'xiao'ying'li 最小应力
'zui'xiao'ying'li'qiang'du'yin'zi 最小应力强度因子
'zui'xiao'you'mo'hou'du 最小油膜厚度
'zuo'ce'chi'mian 左侧齿面
'zuo'quan 座圈
'zuo'shi'tu 左视图
'zuo'xuan'chi 左旋齿
'zuo'xuan'chi'zhui'chi'lun 左旋齿锥齿轮
'zuo'xuan'luo'wen 左旋螺纹
'zuo'yong'li 作用力
'zuo'zhuan'huo'you'zhuan 左转或右转
